au.id.tmm.tmm-scala-collections	tmm-scala-collections-scalacheck_3	0.2.0		8150b2b354d3fc3bf5cd9054bdfc341b54aca868
ca.grimoire.jsp	jsp-filters	1.0		bea8a33b7c30c4477b8b19c8a9b5f6a735e54e21
castor	castor	0.9.2		26f66f098b0e0e6d0e5f633be45820e745be9601
castor	castor	0.9.3		4ba218730bcb71c9d3695e42c8efd65f069d99e0
castor	castor	0.9.3.9		4848e9c7ad67ad14d3398b24a02ed3382d597c3b
castor	castor	0.9.4		e49b0cf9c30cf3e06f5a16b7eab6f3719a51b25e
castor	castor	0.9.4	zen	99b07fe753342d0c4b34ed1be300d0a0925e29cf
castor	castor	0.9.4.2		8e5c2ab38c6cc797ff4fa0bc259c8a5d28a5bdf0
castor	castor	0.9.4.2	xml	88037dd9f3e09e704e8b0036d975f96ac8d90c8c
castor	castor	0.9.4.3		52683f5cada83c2940b3b9366582bc8077082f81
castor	castor	0.9.4.3	xml	cf563305c3f23d982fa272bf0db49b9803cd8ef3
castor	castor	0.9.5		39bb9d9660da8866bed11dfb85f2037b2cc37152
castor	castor	0.9.5	xml	0817235ae0f2f5f13217e8e56c6e00e8afe6dc13
castor	castor	0.9.5-xml		N/A
castor	castor	0.9.5.1		fbd8d2b605955833dd6b2e2a5b93928b064ff8df
castor	castor	0.9.5.1	xml	4be9ebb9dc765ca493ec4dd673c4d7b01e9776fb
castor	castor	0.9.5.2		63fef6e7979878124b51bb1ef66e8b6ee4d5eed8
castor	castor	0.9.5.2	xml	9cbdca3beeecea5cd380d8330b97e08137c86422
castor	castor	0.9.5.3		d76beb426cf228ee6904d08bd8318b112a6025b9
castor	castor	0.9.5.3	xml	d6a5ce3f41920910a30203114e988ebb55bbc70f
castor	castor	0.9.5.4		1a869af4998793b40d2851675451ed9bbf3690b7
castor	castor	0.9.5.4	xml	dccfe452a153ceadc986cec6fede87441f69db7d
castor	castor	0.9.6		ec02189ac752ca6cb3d55ec1a08430b5b04696ab
castor	castor	0.9.6	scrgen-ant-task	8ecee7333f1f037cabff2706ab08bbccc55398ba
castor	castor	0.9.6	xml	dc863d8f0c09c0ae07c700b721aed67a66319634
castor	castor	0.9.6-xml		N/A
castor	castor	0.9.7		48664e8dd08e1304994ad909c76b2a1dbd264e11
castor	castor	0.9.7	srcgen-ant-task	2d4d83fcb0c36d491799170018fc9ab740a9fe39
castor	castor	0.9.7	xml	265ba3243c73cad43b890f649d5df9e0b58b86de
