ai.chat2db.excel	easyexcel-plus-core	0.0.1		29b1400c45b72efc5c8a066fb27c1a0f246b4437
app.cash.burst	burst-mingwx64	0.1.0		N/A
app.cash.burst	burst-mingwx64	0.2.0		N/A
app.cash.burst	burst-mingwx64	0.3.0		N/A
app.cash.burst	burst-mingwx64	0.4.0		N/A
app.cash.burst	burst-mingwx64	0.5.0		N/A
app.cash.burst	burst-mingwx64	0.6.0		N/A
app.cash.burst	burst-mingwx64	0.7.0		N/A
app.cash.burst	burst-mingwx64	2.0.0		N/A
app.cash.burst	burst-mingwx64	2.1.0		N/A
app.cash.burst	burst-mingwx64	2.2.0		N/A
app.cash.burst	burst-mingwx64	2.3.0		N/A
app.cash.burst	burst-mingwx64	2.4.0		N/A
app.cash.burst	burst-mingwx64	2.5.0		N/A
app.cash.exhaustive	exhaustive-annotation-watchosarm32	0.1.0		N/A
app.cash.exhaustive	exhaustive-annotation-watchosarm32	0.1.1		N/A
app.cash.exhaustive	exhaustive-annotation-watchosarm32	0.2.0		N/A
app.cash.exhaustive	exhaustive-annotation-watchosarm32	0.2.0-M1		N/A
br.com.objectos	rio-kdo	0.1.0		fa66c19cacc885d0f0478cf899c75256d66cb05a
br.com.objectos	rio-kdo	0.1.0	jar-with-dependencies	20fc70603431d1e56b9cb35858b0565649c277e6
br.com.objectos	rio-kdo	0.4.0		7ab46a3c4571088de36700511b60fbd0de5be944
br.com.objectos	rio-kdo	0.5.0		ff427f8f1a31f61f94b0270e2ba1225f164f73dc
ch.sbb.releasetrain	utils-impl	0.0.11		f229911699ed6f8398e41980c4e534eb515a60eb
ch.sbb.releasetrain	utils-impl	0.0.12		907f10613e858c8a0a226bb22f0b185ad1350356
ch.sbb.releasetrain	utils-impl	0.0.13		2af49535654c8ee74dbcd1be701e8a24937899c2
ch.sbb.releasetrain	utils-impl	0.0.14		18808dddb00ab3cf5d143450f98a77e8de9ec957
ch.sbb.releasetrain	utils-impl	0.0.15		d37c9522b43fbfe1e360a13092918dd4440837e0
ch.sbb.releasetrain	utils-impl	0.0.16		7431d537f83f9b3dc62d24d572afc6a420bc79aa
ch.sbb.releasetrain	utils-impl	0.0.3		550cf4b4c307d21dcec0a9f8c7a2042433e7c917
ch.sbb.releasetrain	utils-impl	0.0.4		077fe7445ea3e612e87b1c9a9c5ad8da7aaf4cfa
ch.sbb.releasetrain	utils-impl	0.0.5		293000363aa460ae4ed3a429d6f66c619b698f0d
ch.sbb.releasetrain	utils-impl	0.0.6		ada66c6da242519f07b24d6328eeec0e2f874c65
ch.sbb.releasetrain	utils-impl	0.0.7		c4257d0f3abe57a0e80a6aa374789fcf8749f116
ch.sbb.releasetrain	utils-impl	0.0.9		c95fc642d3f9af2fbc6ee2968b169221e524d8ec
cn.com.antcloud.api	antcloud-api-provider-atdata_prod	1.0.1		b2e9f79e8df2c1cec2a75fb0dbbce24955baf517
cn.com.antcloud.api	antcloud-api-provider-atdata_prod	1.2.2		fe9f81907b83e9eabce6711354287280ceb41ce3
cn.com.antcloud.api	antcloud-api-provider-atdata_prod	1.3.10		db60b1bf9be23959ccbf83b1877cd7e3bda756f6
cn.com.antcloud.api	antcloud-api-provider-atdata_prod	1.3.15		e0ed021beb9981d70fdf57563b3d15e45b0cec58
cn.com.antcloud.api	antcloud-api-provider-atdata_prod	1.3.9		df2747d9d86cdb83ac9ece9caa14ca63bb78cee6
co.touchlab	testhelp-watchossimulatorarm64	0.5.5		N/A
co.touchlab	testhelp-watchossimulatorarm64	0.5.5	metadata	d61f91117c84bf73f0894c7884a4a6475c15e5bd
co.touchlab	testhelp-watchossimulatorarm64	0.6.0		N/A
co.touchlab	testhelp-watchossimulatorarm64	0.6.0	metadata	f4f6385f0df8f5a783f5c5a5359f8db667807e8d
co.touchlab	testhelp-watchossimulatorarm64	0.6.1		N/A
co.touchlab	testhelp-watchossimulatorarm64	0.6.1	metadata	3ce7d8728804a76ab2387ee214dea0633be532e2
co.touchlab	testhelp-watchossimulatorarm64	0.6.10		N/A
co.touchlab	testhelp-watchossimulatorarm64	0.6.10	metadata	ac18e1d65ee8e04ec6e08f1dfc76403d4c202906
co.touchlab	testhelp-watchossimulatorarm64	0.6.11		N/A
co.touchlab	testhelp-watchossimulatorarm64	0.6.11	metadata	41a3342d99a4055a19215185a4b112c0c41e0a46
co.touchlab	testhelp-watchossimulatorarm64	0.6.12		N/A
co.touchlab	testhelp-watchossimulatorarm64	0.6.12	metadata	e1c089036f916ec14721950fba69d46c42306bc3
co.touchlab	testhelp-watchossimulatorarm64	0.6.3		N/A
co.touchlab	testhelp-watchossimulatorarm64	0.6.3	metadata	23871de22e0db8c33334fc42e5a46822b96ee71e
co.touchlab	testhelp-watchossimulatorarm64	0.6.4		N/A
co.touchlab	testhelp-watchossimulatorarm64	0.6.4	metadata	41bc98e0fe02f74243e9959d550a83a1e61c79dd
co.touchlab	testhelp-watchossimulatorarm64	0.6.5		N/A
co.touchlab	testhelp-watchossimulatorarm64	0.6.5	metadata	f6e9498a087afae9ba6bd1c7ac2e3e240f054906
co.touchlab	testhelp-watchossimulatorarm64	0.6.9		N/A
co.touchlab	testhelp-watchossimulatorarm64	0.6.9	metadata	42df8d37e5f767ee34abf118343fe49a24e3467e
com.apollographql.adapters	apollo-adapters-core-iosx64	0.0.1		N/A
com.apollographql.adapters	apollo-adapters-core-iosx64	0.0.1	metadata	51aad0deec409b4be2d35fb62707871f8174a227
com.apollographql.adapters	apollo-adapters-core-iosx64	0.0.2		N/A
com.apollographql.adapters	apollo-adapters-core-iosx64	0.0.2	metadata	e28da40ca64b46b8d4c04fa29b37be2af69450c6
com.apollographql.adapters	apollo-adapters-core-iosx64	0.0.3		N/A
com.apollographql.adapters	apollo-adapters-core-iosx64	0.0.3	metadata	66190ea390d10649159c724c82b62f0791124ee2
com.apollographql.adapters	apollo-adapters-core-iosx64	0.0.4		N/A
com.apollographql.adapters	apollo-adapters-core-iosx64	0.0.4	metadata	f5f11776c3ceafa1bd3bb1e934bd7f68dde740cb
com.apollographql.adapters	apollo-adapters-core-iosx64	0.0.5		N/A
com.apollographql.adapters	apollo-adapters-core-iosx64	0.0.5	metadata	295b5e850bd7b8cfcb76cedeccb4d9f56c534381
com.apollographql.adapters	apollo-adapters-core-iosx64	0.0.6		N/A
com.apollographql.adapters	apollo-adapters-core-iosx64	0.0.6	metadata	fcf043523dd13a71b6932c03c3904bb58e7d293a
com.apzda.cloud	oss-client	1.0.0		9bfa180f4f17888983b13c85f14be8eef087df09
com.apzda.cloud	oss-client	1.0.4		b9e4f6fff92aca3dd9ecb51f4485a3a9098755a9
com.apzda.cloud	oss-client	1.0.5		fc11a6da3abe4c481f3cbe3381ce0b5d4e7ade0d
com.apzda.cloud	oss-client	1.0.6		d379466d130ba6dbdf8790f294331714dbb244db
com.apzda.cloud	oss-client	1.0.7		fa03b4150281a23fc5f9afae8fd1b76d5718df5f
com.apzda.cloud	oss-client	1.0.8		1c17ec869a56e9e58881a7dab0413369700dd871
com.bungleton	yarrgs	0.1		f07affed917b3d10a9b13748d542630e1026d90d
com.clouway.kcqrs.adapters	kcqrs-firestore	v1.2.10		2a63ab1b27bba7ea4dbd194e256033290174959a
com.clouway.kcqrs.adapters	kcqrs-firestore	v1.2.11		96eaa627be4339caaba87dfb96c9fe0f32577d24
com.clouway.kcqrs.adapters	kcqrs-firestore	v1.2.7		cac11a37e7da2157a6af0b90d6cb4ac09af01f6e
com.clouway.kcqrs.adapters	kcqrs-firestore	v1.2.8		b5c2f3b5011706df6bf82e8251143b0c0ff576d5
com.clouway.kcqrs.adapters	kcqrs-firestore	v1.2.9		a27bfb24a51f395c1555c77d3d6174a6cab0a2b3
com.clouway.kcqrs.adapters	kcqrs-firestore	v1.3.0		e78c79f650ed2023e6f3296a4b91c47a5de8d15d
com.cognitect.aws	apptest	869.2.1687.0		2d10b5e79cb0c3b22d58286b9996fc08b210de16
com.cognitect.aws	apptest	871.2.29.35		61b8dd7060d15d636819e5ecf0deebc73f4add70
com.github.captain-miao	rv-utils-databinding	1.0.0		N/A
com.github.hplp	aes_chisel_2.11	3.1.0		e625f2cbd6cc2837d5e2439059c6034d832cd434
