br.com.codecode	vlocadora-json	1.0		cf10f4f593633199404568c4ba341b680f55f5b2
cloud.piranha.http	piranha-http-grizzly-test	21.1.0		af248624e82dd641e511a9301f1c50958cdb27a1
cloud.piranha.http	piranha-http-grizzly-test	21.2.0		10ca47a1d3ae5023240a805247116cd71fc40e21
cn.easyutil	easyproject-web	1.0.18		4fafb2fc8f28d370ac71c83f4a8b92a9ae9143cd
com.47deg.xef	xef-scala_3	0.0.1-alpha.25		150af18caab75eadb08538a3a926d9b2685368d6
com.47deg.xef	xef-scala_3	0.0.1-alpha.26		c08347cc70f1799fafcf486b0f88d5350f388e9f
com.47deg.xef	xef-scala_3	0.0.1-alpha.27		9050ef6c8b99a27bfd43b7399474099472efb352
com.aspectran	aspectran-utils	7.5.0		e4d655e233ed11c8842411956ecf37da0128b4af
com.aspectran	aspectran-utils	7.5.1		9ab48b89134e9a10ca04c215aa8d9fbb53cf6f87
com.aspectran	aspectran-utils	7.5.2		35b534e2e9dae8f28f0f1d8a5d42b41d1a918fa6
com.aspectran	aspectran-utils	8.0.0		6e371bc601b447866a950425e6711a7cb7d2f503
com.aspectran	aspectran-utils	8.0.1		b621bc30ee24d3547f239aced05e90e2a525328f
com.aspectran	aspectran-utils	8.0.2		00e9320d77f7b458e9c700dbd92deee2c068824a
com.aspectran	aspectran-utils	8.0.3		8b269ce6aaa5c1015fb502ebfbbcbc03bc8e8c51
com.aspectran	aspectran-utils	8.0.4		a585163a80c17775fcce77cb90aff6621b822933
com.aspectran	aspectran-utils	8.0.5		5c3f6e7eb11d8ff3bcb3f167f4edc00159af197c
com.aspectran	aspectran-utils	8.1.0		fb0a3a5dbaf76378af0eb7d30a01e91fdbf63b23
com.aspectran	aspectran-utils	8.1.1		579e2e0b67b678c4b32d5eeeefa0d84522439570
com.aspectran	aspectran-utils	8.1.2		2d0bc37e4204852545ebe5a630199f6ac39e424d
com.aspectran	aspectran-utils	8.1.3		cc33c7aee05eb46546bded05c4bc52ebd33b9b83
com.aspectran	aspectran-utils	8.1.4		a0a5c291f776823679bfad5f3141c7c3b154313b
com.aspectran	aspectran-utils	8.1.5		0afa7e1c9e9249107b2aa646e2cfbd4f71ef5dbb
com.aspectran	aspectran-utils	8.2.0		6f711882ad006a21cbe1969229699bbc21adfc98
com.aspectran	aspectran-utils	8.3.0		644de6f1847e5b4da75fe0a4cf0b5447874272d4
com.aspectran	aspectran-utils	8.3.1		8e205c56209978d94b7bc227cbe6450940950fcd
com.aspectran	aspectran-utils	8.3.2		73b978d52b783628d450f73b4e3318481e46d7ab
com.aspectran	aspectran-utils	8.3.3		235a711ef1837d56a07f6190a30a0ede31747e53
com.aspectran	aspectran-utils	8.4.0		614aacc4c482edf9ac5d1bb950d22f3e376378eb
com.aspectran	aspectran-utils	8.4.1		500353bcc18a2d30b20ba2ee7bb53e2ae34fdc39
com.aspectran	aspectran-utils	8.4.2		033b8e98de7c4c81f0dd98cef68cb503ea82e2c6
com.aspectran	aspectran-utils	8.4.3		6392a9c6e5d2984720f0bb0e99d803601d0fec91
com.avioconsulting	maven-central-sample-mule-plugin-2	1.0.7		N/A
com.avioconsulting	maven-central-sample-mule-plugin-2	1.0.7	mule-plugin	cb9911b66f6f22e611dfcf54412e6958cd3aa8f7
com.avioconsulting	maven-central-sample-mule-plugin-2	1.0.8		N/A
com.avioconsulting	maven-central-sample-mule-plugin-2	1.0.8	mule-plugin	d7849172bae3c7e6fb060a6d23b9f06160bbcd26
com.avioconsulting	maven-central-sample-mule-plugin-2	1.1.0		N/A
com.avioconsulting	maven-central-sample-mule-plugin-2	1.1.0	mule-plugin	da1ba842f22299d9d4a8aa46c5ef238cc4c07533
com.avioconsulting	maven-central-sample-mule-plugin-2	1.1.1		N/A
com.avioconsulting	maven-central-sample-mule-plugin-2	1.1.1	mule-plugin	48b86f2eef3b01bfde82fce314d66be3571c5278
com.cardinity	cardinity-sdk-java	1.0.0		7edf00bf348669ba7f0baf087fea90271e9891bd
com.cardinity	cardinity-sdk-java	1.0.1		1e2743be02e2fc4c32f859bf38e165a0fdec8b0c
com.cardinity	cardinity-sdk-java	1.1.0		22a97901af27f17cffdc27ad5391934740d45fba
com.cardinity	cardinity-sdk-java	1.10.0		9efa036c17f67246b55ac33543ed4a79c162b2c7
com.cardinity	cardinity-sdk-java	1.2.0		542fb36cc7714520f110eb6cc4c2abcfb2a1d3a7
com.cardinity	cardinity-sdk-java	1.2.1		565c27d2d70a2ac0a2fe18094de1aec0cc308aed
com.cardinity	cardinity-sdk-java	1.2.2		bb67831a92570c2501294cf6fcd9a25086869ae4
com.cardinity	cardinity-sdk-java	1.2.3		7458b9944d7562c4adb93abf4adf3b8c4c36a47d
com.cardinity	cardinity-sdk-java	1.3.0		cb03a3049cc7f33c119106f87784fbfd28494892
com.cardinity	cardinity-sdk-java	1.3.1		c4b73bff140a4d9e263c5430902846aac59d49fd
com.cardinity	cardinity-sdk-java	1.4.0		e14eedcdaf5c412155807bb59b14f79cbd6c17e1
com.cardinity	cardinity-sdk-java	1.5.0		88674de58d6ce491bc838a242247bc49d14a937e
com.cardinity	cardinity-sdk-java	1.6.0		e99859686a81cc8b7855c15b2f804ed9a381eaef
com.cardinity	cardinity-sdk-java	1.7.0		79f4c03d257b042e2783f09088bf3771762f972e
com.cardinity	cardinity-sdk-java	1.8.0		d2ddb4b1291fdf83e22bcc8bda90b24e447a42e0
com.cardinity	cardinity-sdk-java	1.9.0		6ad824b97ac091426ac602443033d73bcebee83d
com.crobox.clickhouse	client_3	1.2.0		363a3c116a9c408a23136a258512f0d1738cf738
com.crobox.clickhouse	client_3	1.2.1		ddada9a41dd5924863617e79ffb0071100a7d341
com.crobox.clickhouse	client_3	1.2.2		b91397f43cd9740c67ed6a52d5fc8d059eb3f222
com.crobox.clickhouse	client_3	1.2.4		ff186fb506b74d29b2864c53d9677fad8159b6d7
com.crobox.clickhouse	client_3	1.2.5		7889efb77aa5dcc8fcd3b3b592a88ab2fae7d60a
com.crobox.clickhouse	client_3	1.2.6		1537d15dfd3b2f8c8a2e6668e4f645fcf0428c06
com.crobox.clickhouse	client_3	1.2.7		26c2071b20e92444ddb148838adf56552bed0e99
com.crobox.clickhouse	client_3	1.2.8		d8d00cdc2f48516d0b633b52c783ceebfb198651
com.github.ansell.pellet	pellet-common	2.3.2		f34bd12727334643eee0bd4965c60f4da131a720
com.github.ansell.pellet	pellet-common	2.3.3		59c27af29c2abe368f6c12268cf0e5ad9af8966c
com.github.ansell.pellet	pellet-common	2.3.4-ansell		2da609abd6bde72671099c66760453db854e0b68
com.github.ansell.pellet	pellet-common	2.3.6-ansell		93b76cdc43e97dd0175b43f0fc2cc1f65c5d1b6e
com.github.nill14.utils	java8-utils	0.1.0		9f227f7afc87422ffdfe9b38f9d65aca1b7d0ead
com.github.nill14.utils	java8-utils	0.1.1		20307cbcf9e8ed24809a3d31d7bbc64c38c965b3
com.github.nill14.utils	java8-utils	0.1.2		098814305f60c2610ebf9e2a04198cf970ad562c
com.github.nill14.utils	java8-utils	0.1.3		370740e369cd4265030d06db93a0dde374904e09
com.github.nill14.utils	java8-utils	0.1.4		dbc9d843fa07010c69eae400b9167a87bd536756
com.github.nill14.utils	java8-utils	0.1.5		b498fed09306aae0a262ee2d80193aeb34db5583
com.github.nill14.utils	java8-utils	0.1.6		7bf91c57e9ae22a4318de13e6106449c76c5138a
