at.released.tempfolder	tempfolder-sync-wasm-js	0.1		N/A
bouncycastle	bcprov-jdk14	124		a72837c48c2008453d8bff5fad76a8d449517e87
bouncycastle	bcprov-jdk14	136		fd984c39603845556a8721a91f591a4610c6c960
bouncycastle	bcprov-jdk14	138		de366c3243a586eb3c0e2bcde1ed9bb1bfb985ff
bouncycastle	bcprov-jdk14	139		6f539400deb5e522e5e2352a3689cc3925a7dbce
bouncycastle	bcprov-jdk14	140		57f4571d76faef80f06f63dc22db1a1250b35394
br.com.tecsinapse	tecsinapse-exporter	1.1.56		3adba6b7e4e10bf03ce686374dbb656e70d734b2
cn.com.analysys	analysys-mpaas	4.5.10		N/A
cn.com.analysys	analysys-mpaas	4.5.11		N/A
cn.com.analysys	analysys-mpaas	4.5.12		N/A
cn.com.analysys	analysys-mpaas	4.5.13		N/A
cn.com.analysys	analysys-mpaas	4.5.13.1		N/A
cn.com.analysys	analysys-mpaas	4.5.14		N/A
cn.com.analysys	analysys-mpaas	4.5.15		N/A
cn.com.analysys	analysys-mpaas	4.5.16		N/A
cn.com.analysys	analysys-mpaas	4.5.16.4		N/A
cn.com.analysys	analysys-mpaas	4.5.17.7		N/A
cn.com.analysys	analysys-mpaas	4.5.17.8		N/A
cn.com.analysys	analysys-mpaas	4.5.18		N/A
cn.com.analysys	analysys-mpaas	4.5.4		N/A
cn.com.analysys	analysys-mpaas	4.5.6		N/A
cn.com.analysys	analysys-mpaas	4.5.7		N/A
cn.com.analysys	analysys-mpaas	4.5.8		N/A
cn.com.analysys	analysys-mpaas	4.5.9		N/A
cn.herodotus.engine	oauth2-sdk-authorization-ui	2.7.0.Beta3		cebefd108be4cc2a43894c81feb01a418601fd05
cn.herodotus.engine	oauth2-sdk-authorization-ui	2.7.0.Beta4		8652ef3f26fe53085e75ec5a20655b19f7231e78
cn.hserver	hserver-plugin-mybatis_flex	3.3.0		bbdf3f54ec3462ff0bedd986345e5cf4239091e5
cn.hserver	hserver-plugin-mybatis_flex	3.4.0		1edd6524063caa4baa2ab78592a9318f37cede45
cn.hserver	hserver-plugin-mybatis_flex	3.4.M1		0c94cc5f1e556bbe228d960b0151fc691d6737f8
cn.hserver	hserver-plugin-mybatis_flex	3.4.M2		84a6ab01f83c79083d024c75fc72ac0b399dc0dc
cn.hserver	hserver-plugin-mybatis_flex	3.5.M1		da2dc19ec3f0739ce3b197260233668db8cba68e
cn.hserver	hserver-plugin-mybatis_flex	3.5.M2		5d688b820788813633547f8bb027bcf6906e0007
cn.hserver	hserver-plugin-mybatis_flex	3.5.M3		30803cab854c97f8a675e82a057a898735a8abb6
cn.hserver	hserver-plugin-mybatis_flex	3.5.M4		b5b91bd669bf20036c57d1b2bcbb795abc6a0c92
cn.hserver	hserver-plugin-mybatis_flex	3.5.M5		dcb63304aacdd9f3d429c719d6edb5e38b8cd318
cn.hserver	hserver-plugin-mybatis_flex	3.5.M6		1c04ac41f82d92268ae421faf605a12320a66a97
cn.hserver	hserver-plugin-mybatis_flex	3.5.M7		cd0488953c38b52ab8643593be696977657775d9
cn.hserver	hserver-plugin-mybatis_flex	3.5.M8		7cebfc8f03f80801c398315c71372eb503d52e28
cn.hserver	hserver-plugin-mybatis_flex	3.5.M9		1ebe6aa818859278ad0451b8f3f9ff4dbcd7ecb2
cn.hserver	hserver-plugin-mybatis_flex	3.6.0		1b328c26086d77b6b626943e63db90bb10bf244d
cn.hserver	hserver-plugin-mybatis_flex	3.6.M1		3a584530dc5e5fd526be4324e6676a72b46ab9fb
cn.hserver	hserver-plugin-mybatis_flex	3.6.M2		b043ca72567738151e610fc9c8f3b3922cd5b4ae
cn.hserver	hserver-plugin-mybatis_flex	3.6.M3		a7117188e7e8319de9e37aeb15ce10d26d9c9ae4
cn.hserver	hserver-plugin-mybatis_flex	3.6.M4		cf608fdd931976354f992c2e83dcaf877e30a24c
cn.hserver	hserver-plugin-mybatis_flex	3.6.M6		17646a95c9243852e8acf8b43f71ec558f042650
cn.hserver	hserver-plugin-mybatis_flex	3.6.M8		c9946c7fa08a8e34cf76f735fff2a936c9240bf1
