ai.grakn	redisq	0.0.5		00d32ab8e0ad1dad3415071c7934b4c02ff566f0
bi.deep	flink-connector-jdbc-source-1.15	0.1		89b93712e3707a0b94d1f7243a9719020a7d29c2
bi.deep	flink-connector-jdbc-source-1.15	0.1.1		8185699b13ff6f75a234e7ec36981bb4ed062f8f
com.alachisoft	nc-pro-serialization	5.2-alpha-22		4d6492f5eacf6f78bdca1f89191600f1d5623817
com.alachisoft	nc-pro-serialization	5.2-alpha-26		0c4c4e8c37c288d96b7497cfe9de337683222b42
com.alachisoft	nc-pro-serialization	5.2-alpha-27		d3a47558321916ec915bb5aa0a762dceb3de22f2
com.alachisoft	nc-pro-serialization	5.2.0		1676aa3397a171a9d79664b0c3aae169a1f3ce3a
com.alachisoft	nc-pro-serialization	5.3.0		1a50c3470f41c5dc390dd434acc4ea55c2334478
com.amazonaws	aws-java-sdk-neptune	1.11.1000		8fbda6817248e1a105723a2cae4b593dda326af2
com.amazonaws	aws-java-sdk-neptune	1.11.1001		0c3ef0c9343ed07df982ffacfd28906f559bcb16
com.amazonaws	aws-java-sdk-neptune	1.11.1002		7b66a24fbce5bdb730558b478b46789559c0d169
com.amazonaws	aws-java-sdk-neptune	1.11.1003		be46ec2b25f6ecf94cd0dd7da772aed2030954d5
com.amazonaws	aws-java-sdk-neptune	1.11.1004		0f298c85fd6b14e51252f2c6c4648f354bcaa876
com.amazonaws	aws-java-sdk-neptune	1.11.1005		8c34b8c564d2de484703491e98f14142f8918712
com.amazonaws	aws-java-sdk-neptune	1.11.1006		0d9b87cd588d0165f0da0a8ae077788fc836a19f
com.amazonaws	aws-java-sdk-neptune	1.11.1007		1a741e8f7cffb7d32a160b32513c678b1a86c901
com.amazonaws	aws-java-sdk-neptune	1.11.1008		b794c796374f677f7f4f5c7fd28a390ae239e05c
com.amazonaws	aws-java-sdk-neptune	1.11.1009		61141b26f69e547055914add019cc795d9a0ba0f
com.amazonaws	aws-java-sdk-neptune	1.11.1010		8334f37fb0f51cc7a07e97262de495040e9aba79
com.amazonaws	aws-java-sdk-neptune	1.11.1011		3d4dc5dd86bfaec8385a8bdece17e16af3419ab7
com.amazonaws	aws-java-sdk-neptune	1.11.1012		39b2f911ac24179f914363992d2e4c7c8c440511
com.amazonaws	aws-java-sdk-neptune	1.11.1013		77c70dd71861443b49570ea63da07f296b96c7fd
com.amazonaws	aws-java-sdk-neptune	1.11.1014		77f490ce932caaf65420a9ae0151f550c97fe63f
com.amazonaws	aws-java-sdk-neptune	1.11.1015		99852a6b855aaa5978a55308a65febb74f4e773e
com.amazonaws	aws-java-sdk-neptune	1.11.1016		84fee878ab91b1d07e94257fac87e3fc22d8208d
com.amazonaws	aws-java-sdk-neptune	1.11.1017		14a4c2ec60e89e4f51b8c896fbd200d1b164d2dc
com.amazonaws	aws-java-sdk-neptune	1.11.1018		0c74457eb7d15d03a1e43d8a215000df63f7435e
com.amazonaws	aws-java-sdk-neptune	1.11.1019		dd7dad731368fc829bc76d80f213ab6b4b138225
com.amazonaws	aws-java-sdk-neptune	1.11.1020		2c9aea350adc769e5645394e007d094f7ce1f7ce
com.amazonaws	aws-java-sdk-neptune	1.11.1021		7579c9fb5f90c0dfb1c4fadb142140ffde4cf141
com.amazonaws	aws-java-sdk-neptune	1.11.1022		17cd88bd8789574ab6a33ae575ef63e273621b46
com.amazonaws	aws-java-sdk-neptune	1.11.1023		3002838057ec1f0638260e4a3b9fe0afd3e6de1d
com.amazonaws	aws-java-sdk-neptune	1.11.1024		092d7a97f5429a998e79bdf597044074fcb22031
com.amazonaws	aws-java-sdk-neptune	1.11.1025		7217c060bb0cd8a518ab418ea5c5a7a053f86c6f
com.amazonaws	aws-java-sdk-neptune	1.11.1026		89f11773cd36fe9bc4a71da0b3f75fef9e609147
com.amazonaws	aws-java-sdk-neptune	1.11.1027		e65731d809c3796afb685a6b7e5f6e7829089f20
com.amazonaws	aws-java-sdk-neptune	1.11.1028		4d43658a0d0daf2e2302c3f3e40cff4235972708
com.amazonaws	aws-java-sdk-neptune	1.11.1029		2e24dbedd808add262a71c69746c99e294449d2f
com.amazonaws	aws-java-sdk-neptune	1.11.1030		e0ee7a836144cea0f4fdf434c3735b3588857c26
com.amazonaws	aws-java-sdk-neptune	1.11.1031		f3d4542d53ce34f8a24fc59e386aaa7518e6482b
com.amazonaws	aws-java-sdk-neptune	1.11.1032		04086556d57d37b41dc25db6b72b050b790a19a1
com.amazonaws	aws-java-sdk-neptune	1.11.1033		8c318e1cc01c972e00614638ccc3081fc1d13e51
com.amazonaws	aws-java-sdk-neptune	1.11.1034		dc030a1e37fc47ec5b78e94c73696504872f9b38
com.amazonaws	aws-java-sdk-neptune	1.11.339		d8913d3941bfb6ce32a1caa69a408c9a5bb04d61
com.amazonaws	aws-java-sdk-neptune	1.11.340		786bbfb115eda46114988feb4a9b60c7f8a79a64
com.amazonaws	aws-java-sdk-neptune	1.11.341		744ec46ca1b3e072e163cd8ece758386745fff5a
com.amazonaws	aws-java-sdk-neptune	1.11.342		4c6db615c85889c680422a829285d1a5a92c7f62
com.amazonaws	aws-java-sdk-neptune	1.11.343		819c059dcb69999d8988c2eac34244d3f2505bda
com.amazonaws	aws-java-sdk-neptune	1.11.344		7d9799e9a3ef889dafb55774700608b053bbc570
com.amazonaws	aws-java-sdk-neptune	1.11.345		cb7dfe9f87b952ae60a84bbbaa6076ccab1fd074
com.amazonaws	aws-java-sdk-neptune	1.11.346		10bc37d69656d0e162812e6804368062bf95a963
com.amazonaws	aws-java-sdk-neptune	1.11.347		1bb74d3164f7ee0558bab4c7b947e4b6da307a65
com.amazonaws	aws-java-sdk-neptune	1.11.348		9eff6aa3c9138c011780459298527ab6d260f1af
com.amazonaws	aws-java-sdk-neptune	1.11.349		5c3598d3e2901dc88e1dc5fa8ce68b0bd3caab59
com.amazonaws	aws-java-sdk-neptune	1.11.350		66b44f398f83aa42b0cbe909b0045086d85a40a6
com.amazonaws	aws-java-sdk-neptune	1.11.351		ba1a0ed9e338d7989ce63a5323e4d12c2d5d8dd6
com.amazonaws	aws-java-sdk-neptune	1.11.352		bc8d0eb7e8a92bbc90f03c0c1feca384866b0a40
com.amazonaws	aws-java-sdk-neptune	1.11.353		3a1331f5210ef48088c67c5263eb68c929eb9cfc
com.amazonaws	aws-java-sdk-neptune	1.11.354		58ecb53889b29b3c579c4c5731a6248df839e466
com.amazonaws	aws-java-sdk-neptune	1.11.355		6cd0f30e80babb329976a37226eace2df66f2365
com.amazonaws	aws-java-sdk-neptune	1.11.356		70181d779e15190ad960c639fef5e97fbdf6bea5
com.amazonaws	aws-java-sdk-neptune	1.11.357		b752665ada063036f4ca8a01a2898e2ada7adcc2
com.amazonaws	aws-java-sdk-neptune	1.11.358		4ce786d6a467f6734b85f6bf21108283a75a3b8b
com.amazonaws	aws-java-sdk-neptune	1.11.359		ca294908e7f227794d98df957c3a1140a5e1fce2
com.amazonaws	aws-java-sdk-neptune	1.11.360		efdca5be62c54c2fe70b30678a9c772dfb769a3a
com.amazonaws	aws-java-sdk-neptune	1.11.361		e57b8f03ef054e5c2ac983791e7846ea15491252
com.amazonaws	aws-java-sdk-neptune	1.11.362		c214e9dc3c13fa7e817caae43b17221583125ffc
