ch.epfl.lamp	steps_3	0.1.0-RC1		01d16c02c22f8df53bbab41499da64b921352556
cn.pivoto.polaris.toolkit	polaris-git	2.0.2		c1cd8ded01ff96890e05923745d92ad3f427b5b2
cn.pivoto.polaris.toolkit	polaris-git	2.0.3		8b6e1e284eda05d6d220535b189c9d801e53b302
cn.pivoto.polaris.toolkit	polaris-git	2.0.4		26c49ae2cd23aca5818f74c99c8297a12500e2fa
cn.pivoto.polaris.toolkit	polaris-git	3.0.1		aaa53a3b8fe17c1807ea0d47f0217ffcc0edaae2
cn.pivoto.polaris.toolkit	polaris-git	3.1.0		38036529145ae432e63ad3927efb21fce0f2545a
cn.pivoto.polaris.toolkit	polaris-git	3.1.1		8d1c06c9504ebafc4b93eee98b907e231658fe31
cn.pivoto.polaris.toolkit	polaris-git	3.1.10		06be2479f764cb38263122f1cbf486f43a1e0454
cn.pivoto.polaris.toolkit	polaris-git	3.1.11		c30bce783653cefd071d81884c3bdea4ac42a25f
cn.pivoto.polaris.toolkit	polaris-git	3.1.12		75f2a2d08a6ec0fe0c8ae967a6e1a98d839925a3
cn.pivoto.polaris.toolkit	polaris-git	3.1.13		5c42cd0b4993c3f54a2fdcc75651bda214f46dc6
cn.pivoto.polaris.toolkit	polaris-git	3.1.14		7970d9f36dbceff9b7cd6ed97c75d85097da568a
cn.pivoto.polaris.toolkit	polaris-git	3.1.15		87538b80484e3931589170355688e54b669de74a
cn.pivoto.polaris.toolkit	polaris-git	3.1.16		4ed04c38a69a3982ce771f6e75b568ac67f6c573
cn.pivoto.polaris.toolkit	polaris-git	3.1.17		c90fc28a8fe2fd4b52865f0942e7331ec2b645c3
cn.pivoto.polaris.toolkit	polaris-git	3.1.18		fa206e99a8801abee044c53a8959871db5d4451f
cn.pivoto.polaris.toolkit	polaris-git	3.1.19		78d1dd2c98ae92abe9194bfaf1df999698da620b
cn.pivoto.polaris.toolkit	polaris-git	3.1.2		797ce604d5b9035c8312a4ff6a32f60d250dd76f
cn.pivoto.polaris.toolkit	polaris-git	3.1.20		1c3f35c00a1a8174c197997c1ea5b4192f87a3bd
cn.pivoto.polaris.toolkit	polaris-git	3.1.21		2d69a1a03de044cae632b79e6b2aa61edd99159e
cn.pivoto.polaris.toolkit	polaris-git	3.1.22		03d090823f863495288cad79b8ef13eaa4573d84
cn.pivoto.polaris.toolkit	polaris-git	3.1.23		df802d7343c74033cb907118236705219e49f8e4
cn.pivoto.polaris.toolkit	polaris-git	3.1.24		42ec446d265ef0f6a7a5e3e9b31d1360a7503c44
cn.pivoto.polaris.toolkit	polaris-git	3.1.25		fc6a790b1efc9c3fef6499786f9cee2066206355
cn.pivoto.polaris.toolkit	polaris-git	3.1.26		e24d5a1fec39b3ccbfcec52e03339b8a45109f68
cn.pivoto.polaris.toolkit	polaris-git	3.1.27		285f6f7b38e1dc390712c8a3146dc5892938338a
cn.pivoto.polaris.toolkit	polaris-git	3.1.28		8d747ff2929ead99a5e155b81ea06d935a2b0cdc
cn.pivoto.polaris.toolkit	polaris-git	3.1.29		4dd398b56b9b912636b6fa69cc8a3b072abe1bea
cn.pivoto.polaris.toolkit	polaris-git	3.1.3		494089af7e876a378b3cae25520819d29c178aa8
