ai.floom	java-sdk	1.0.0		5a34a162e968506fedd0c5a04bd20465a8aea51b
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M1		293efe6928d401a0a352861ae577bb7b9c649315
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M1	plugin	0ad9e2ee569c9aead6313f52385576e00a757bd4
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M10		6913396e5660b964f88a613c26036996dcf8b6c7
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M10	plugin	821b85846e9fd4dd9a6ac6b386208dc6e6499dbc
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M11		accf1704357b6080f6355468ad4fe5038ca46709
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M11	plugin	f292c605736df343b1f5ea95335de9962b1a1c3d
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M12		c402e053e13533ea6a1b3f73dd4ec0e8a2fa1a2e
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M12	plugin	34b58d117e0100ffeabc613849c107b069473d03
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M13		9f4a17579b1e920c171507f6141c97bda20a17ed
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M13	plugin	16b654a62ee5f4d1a11769c96b2a0ea3c5a3569d
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M2		558097e35224bd696be2ef78b5ae00ea9dec3595
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M2	plugin	fc603f398321fcb48324dde184808a281cded906
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M4		540a28d1fe113dc09fc17094a77f52394284c246
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M4	plugin	a4f78cb28759af5b21c98b0a1dc75651dafe96ec
ch.epfl.bluebrain.nexus	delta-storage-plugin_2.13	1.10.0-M5		c9fef152833cd296aaa8cabc5228882aa8d0c0db
