au.csiro	elk-owlapi4	0.5.0		d10711e1fce5b61b9935cce19d3ae171ded686c8
br.usp.each.saeg	jaguar2-xml-exporter	0.0.1		8bdb5920b4572bc8867a570e5adb4e76e568000a
br.usp.each.saeg	jaguar2-xml-exporter	0.0.1-jdk6		9ee912806f32486592ddf82481ab103decfdc158
br.usp.each.saeg	jaguar2-xml-exporter	0.0.2		059db48dc14e6907e9af18bd67860f1fa1d01f70
ch.epfl.scala	scalafix-core_2.12	0.10.0		ec52cb3018bba927662c2791b1a4214dfc533b9d
ch.epfl.scala	scalafix-core_2.12	0.10.0-RC1		58425cace91543dcadf80fa574c1c6b6fb33e32b
ch.epfl.scala	scalafix-core_2.12	0.10.1		13776ff36602d64663759ed788dbb5a3ed83c931
ch.epfl.scala	scalafix-core_2.12	0.10.2		cfd0e1be7d6ab612d502464db14ca23be228433b
ch.epfl.scala	scalafix-core_2.12	0.10.3		98732d547a06c5dfcf306b0800c9991d8370c737
ch.epfl.scala	scalafix-core_2.12	0.10.4		89fec19edf26ca59f31dfca910f5277a3661f4d3
ch.epfl.scala	scalafix-core_2.12	0.11.0		87f9dd1b92d5c05d640b9802629d9965166fc751
ch.epfl.scala	scalafix-core_2.12	0.11.1		47df871d14c7335d4942c66eb73ffbf461391ffa
ch.epfl.scala	scalafix-core_2.12	0.12.0		9f1d05081cafc70f4dce16262bcf7bca5b2e141d
ch.epfl.scala	scalafix-core_2.12	0.12.1		a826dd87dc28fd2491e0eaa6d997598978635ca1
ch.epfl.scala	scalafix-core_2.12	0.13.0		f2de83a303cca7ea6a018e79620fd74a30e77b2d
ch.epfl.scala	scalafix-core_2.12	0.14.0		9299e46f23df8fa7e40c2aab344e0730e2406f39
ch.epfl.scala	scalafix-core_2.12	0.14.1		4791bc9fd8cf9b3f6e5a2d996c66e35cdd721a2e
ch.epfl.scala	scalafix-core_2.12	0.14.2		8fdc19db63437be69986ad1d6d3552c447a85b00
ch.epfl.scala	scalafix-core_2.12	0.2.0		4d7fa5f2c30537bf28b2ad4ea5eafa5c8aa703da
ch.epfl.scala	scalafix-core_2.12	0.2.1		5eac774dd2964e03747b0f83a0b3924a25b0bd70
ch.epfl.scala	scalafix-core_2.12	0.2.2		93cd1aa82806f484b4671690ea8a07b0184fb31e
ch.epfl.scala	scalafix-core_2.12	0.2.2-RC1		7a3b390350a5708e0d790989e680183050358735
