ai.x	safe_2.12	0.1.0		d5cae82ef1f62c3df5e23d1e18539738033ca45b
at.asitplus.wallet	vck-openid-versionCatalog	4.1.0		N/A
at.asitplus.wallet	vck-openid-versionCatalog	4.1.1		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.0.0		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.0.1		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.1.0		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.2.0		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.2.1		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.2.2		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.2.3		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.3.0		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.3.1		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.3.2		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.3.3		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.4.0		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.4.1		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.4.2		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.4.3		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.4.4		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.5.0		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.5.1		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.5.2		N/A
at.asitplus.wallet	vck-openid-versionCatalog	5.5.3		N/A
br.com.devsrsouza.compose.icons	eva-icons-wasm-js	1.1.1		N/A
br.com.objectos	dhcp	0.1.0		239359f611d533591758fde9969a2980aead1d5d
br.com.objectos	dhcp	0.1.1		d4647e15b45efa65949e076fe02b836e888773ed
br.com.objectos	dhcp	0.1.2		029c5a520eaf059167fea13430ebed7b9ab009bd
br.com.objectos	dhcp	0.1.3		75474f23fe700640e3fc6f041fee9a7136d908dc
cc.jstr	keycloak-authkit	1.0.0		39794d38935b9d55b635aca8670700edd6e2422b
cc.jstr	keycloak-authkit	1.0.1		096182f17c77ce1bedae51b13ea0e50ba2b2c97e
com.arjunjadeja	dre-iosx64	0.1.0		N/A
com.arjunjadeja	dre-iosx64	0.1.0	metadata	31944b8cef412dee21fbf35e74cf5ca6f06e9749
com.buyi.recyclerviewpagerindicator	library	1.0		N/A
com.circle	circle	0.1.0-beta.0		2738ae71d70231ffa27c071f037ae75b6481c140
com.circle	circle	0.1.0-beta.1		fe479da419b3f35c9ed9c6ccc6c21685fb9cc0ff
com.circle	circle	0.1.0-beta.10		889c24a743d2f99f557930e7749ed99844028bda
com.circle	circle	0.1.0-beta.11		f8cdfe2aa4c39008754277c91b38b2f22822b910
com.circle	circle	0.1.0-beta.12		ccde879a07815cdf4cc4336bd749382a5ecb49f2
com.circle	circle	0.1.0-beta.2		e61e73ed71b0f5e049b399efc614dabd69033c9a
com.circle	circle	0.1.0-beta.3		2d87c830d55f4f5d52018982b4965e6104b4e29e
com.circle	circle	0.1.0-beta.4		8b4af91827181050d0856f5c3881eceae26c57ca
com.circle	circle	0.1.0-beta.5		9a67f72cc488bd7450c368d7f0bca541df6e0289
com.circle	circle	0.1.0-beta.6		0e4d90192b46700768e4cc474c4066f9d0ad3a58
com.circle	circle	0.1.0-beta.7		d90343fe62a1a5cbb10c503f6b75c1fcffc89b5a
com.circle	circle	0.1.0-beta.8		0fcfeb20c0e2125d92abe9b02653be9a2c6950b9
com.circle	circle	0.1.0-beta.9		c5da1e72d57b813b935643dddf145691c570e297
com.cnbbx	cnbbx-mybatis	1.3		0ef6795144db602627f270205bc25e1049a006f0
com.cnbbx	cnbbx-mybatis	1.3	small	d104cbd53e902bb370e7644f042cba8b9f74677a
com.cnbbx	cnbbx-mybatis	1.3.1		abe6b4efa31afed70ed58d397958d5700d350721
com.cnbbx	cnbbx-mybatis	1.3.1	small	5385c654167f266b7d7eaa7d129a1bd44ebdfb3b
com.cryptape.cita	tests	0.20.3.1		82de8f4fda2f220534515e39773c9884adc9087e
com.cryptape.cita	tests	0.21		7ec14c828aabb9990e93eb51bc1b1faf719e69e3
com.cryptape.cita	tests	0.22.1		9cb9ca5f78811e36aa319077c87ac83332b65565
com.cryptape.cita	tests	0.22.3		1f0c359fe9f11ccad5d441d91369a94fcd78e264
com.cryptape.cita	tests	0.23.0		f9ee9585674598cded98762a723d907cfeb9a173
com.cryptape.cita	tests	0.24.0		b61dd08fd598bade59c3913b8621e0a60a1c003d
com.cryptape.cita	tests	0.24.1		a4cf055c2426ecbb4481a720e95b7852c8b67776
com.cryptape.cita	tests	0.25.0		f923c8ea09229e48881ee4d4001a519556fd2f8f
com.cryptape.cita	tests	1.0.0		34ff63615065790f501ce4ba1978025ecca97bbe
com.daml	test-common-semantic-tests-java-2.dev	3.0.0-snapshot.20240119.12605.0.vaa5f01df		d4c5aa7943dda2058aa1a82cea528723bf01ad52
com.daml	test-common-semantic-tests-java-2.dev	3.0.0-snapshot.20240122.12612.0.v3b5dce66		152a67541e6961da200ca1450ce983d33ff463f8
com.daml	test-common-semantic-tests-java-2.dev	3.0.0-snapshot.20240123.12622.0.vc5c43abe		d9080e8d8fd372f0582dee0bf1531c7d2874b23c
com.daml	test-common-semantic-tests-java-2.dev	3.0.0-snapshot.20240124.12628.0.v318e1d38		f0665b92ccb39fdfbe9e368c707ecc45eaff94d9
com.daml	test-common-semantic-tests-java-2.dev	3.0.0-snapshot.20240125.12640.0.vf0b61ae5		8eb07a04046a2f6e188dfda4eb7ba37401979a10
com.daml	test-common-semantic-tests-java-2.dev	3.0.0-snapshot.20240126.12648.0.va9dc2d63		015fe3724fc1266c54a5eb808349be0cc4db5567
com.daml	test-common-semantic-tests-java-2.dev	3.0.0-snapshot.20240129.12655.0.v90d90ea7		a7913bba930654488a14359874775b066d87444a
com.daml	test-common-semantic-tests-java-2.dev	3.0.0-snapshot.20240130.12664.0.va195d0f6		1e5df199e4b270223d44c4d4dab922c10419f016
com.daml	test-common-semantic-tests-java-2.dev	3.0.0-snapshot.20240131.12677.0.v910a4a9e		82778980abdd4187a4218153e1ab13815a2041e3
com.daml	test-common-semantic-tests-java-2.dev	3.0.0-snapshot.20240201.12683.0.v3b292d00		e30f3c8330d2048ed1210228a0e15ef1eb61263b
com.daml	test-common-semantic-tests-java-2.dev	3.0.0-snapshot.20240202.12694.0.vd4b0dbc1		d81ae266804d00c09cedbc56bf28823eef367a7d
com.daml	test-common-semantic-tests-java-2.dev	3.0.0-snapshot.20240206.12702.0.v3b408892		2ce6f1f18dd2cac4ba2953ef0af151f596b033ee
com.englishtown	vertx-mod-jerseymetrics	2.5.0		845d208e4544788aa42f61e7a17b9326d02543fe
com.englishtown	vertx-mod-jerseymetrics	2.6.0		787991217a00dd5e57c004cf2d56d0c00dcc6e94
com.englishtown	vertx-mod-jerseymetrics	2.6.1		bba24eb67c455c1380909dc754f5d686f13eac24
com.englishtown	vertx-mod-jerseymetrics	2.7.0		1339728fb7766e35f463f8626ae03904b26700ce
com.englishtown	vertx-mod-jerseymetrics	2.7.1		7169766697bfcfc0cc91f3ae54cd454e09cd5e7c
com.englishtown	vertx-mod-jerseymetrics	3.0.0		64ff83b147368fc01dade0533b23bc44febf3250
com.englishtown	vertx-mod-jerseymetrics	3.0.0-RC1		50e2bc283f7cbedc2742ab76f411993b68845ae3
com.englishtown	vertx-mod-jerseymetrics	3.0.1		5da077379b8d8c46201f52052a3a43e3ffb93733
com.exp-blog	exp-libs-base-ext	2.0.0		719b652e2623e6b9c236424b3b715d8dcd5d50c5
com.exp-blog	exp-libs-base-ext	2.1.0		37ea0b064bcc866733ad736ee3a64059b4d445a8
com.exp-blog	exp-libs-base-ext	2.2.0		4efff6341107c931ad428c5f801251d38561eb9d
com.exp-blog	exp-libs-base-ext	2.3.0		fc19a9c5173ec3616eed6c4516a93343c6cb07db
com.fleeksoft.ksoup	ksoup-kotlinx-tvosarm64	0.2.1		N/A
com.fleeksoft.ksoup	ksoup-kotlinx-tvosarm64	0.2.1	metadata	46bc16a9284f2dc76f31e570c4d27676d4aa0f73
com.fleeksoft.ksoup	ksoup-kotlinx-tvosarm64	0.2.2		N/A
com.fleeksoft.ksoup	ksoup-kotlinx-tvosarm64	0.2.2	metadata	648815b0f9102e81d5785e9d6f0e3f1e466eff8f
com.fleeksoft.ksoup	ksoup-kotlinx-tvosarm64	0.2.3		N/A
com.fleeksoft.ksoup	ksoup-kotlinx-tvosarm64	0.2.3	metadata	8f74a036645381f89d92b5c597cd2bf0a8be76aa
com.github.brunotl	boost_type_index	1.81.0		N/A
com.github.dabasan	joglfaddon-gaussianblur	1.0.0		29c4d9e65dc114c078906a1054a4bd1719417bc4
com.github.houbb	tess4j	0.1.0		4533096ef13878a9b571543f92431c6a8532431a
com.github.jazng	jfunctional	0.0.1-RELEASE		fb795b5ee4dc2d6a355098855d87ce3037e6d7cc
com.github.parboiled1	parboiled-core	1.1.7-beta.2		2982cb7b0ae092e8d4e5a13a6d10f8bd1e329a37
com.github.serg-delft.hyperion	pipeline-common	0.1.0		a9ccdc4bdc349b72f5145a587ae7cae5129ff3b6
com.inkapplications.regolith	sensors	1.2.0		2c8e5361b1b910624ee92c41ff8028e31e1fb930
com.inkapplications.regolith	sensors	1.2.1		d81bb84e7ca61da7a1eed8b1f33e100f784826ab
com.inkapplications.regolith	sensors	1.3.0		16c0ad299fe62c91212d410fa3a3a753f2379542
com.inkapplications.regolith	sensors	1.4.0		16c0ad299fe62c91212d410fa3a3a753f2379542
com.inkapplications.regolith	sensors	1.5.0		57f23dbf3d2bdfcc7a7cadc8ad912195bf23616a
com.inkapplications.regolith	sensors	1.6.0		57f23dbf3d2bdfcc7a7cadc8ad912195bf23616a
com.jianglibo.easyinstaller	scriptsnippets	0.1.1		8c62a3ae1df81902defe11af68b4d7fef2ede89a
com.jianglibo.easyinstaller	scriptsnippets	0.1.2		7adab0bf341e19d60710eb1324d8424e78d8e5ef
com.jianglibo.easyinstaller	scriptsnippets	0.1.3		a72d1b359c3f615b8fcef0e03b9a731f0c05d8b9
com.jianglibo.easyinstaller	scriptsnippets	0.1.4		65a4ba251d0cd6b369a3bdd0f5b1e147e52371af
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.1.0		6d20e534b31636cd3abfbcb2dedad5da79566e83
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.1.1		aa813ef6d02ad00f0d92c0bf7cec9f898c95782e
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.1.2		8855a6fbfe1b36d1ab94229b8f3de2ebb2806f08
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.1.3		0020df111efcb8352a1726cca507ff93534f7d9f
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.1.4		d04a245f883c52565a7586920b41cb43aafc2ce7
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.2.0		0fa3c310f9701bc20bb8785e145e7fcf26a6b3ed
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.2.1		f3e90fc290779345bcbb4982014090729d50cfa3
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.2.2		c21f3afd989107e16b405e0a70091fd4ba05cefe
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.2.3		494e927ee3c1c53fc2875f3773ad9606e456d1ff
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.2.4		8e54117292180b42d7229dbbf03d00be32cbf83c
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.2.5		317b0e9e9f29166d62955fb3bae05b168a2673ff
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.3.0		035a7bc93da27f6e80060239e79b52f58a1055b1
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.3.1		cc078c703b45f03a7ec9f95ae14383146fba54a7
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.3.2		fc7cfe0b4a49bedab276ec4debaa67ac29003433
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.3.3		24e595b33ca66028281ac175465a0719473147a4
com.liferay.portletmvc4spring.archetype	com.liferay.portletmvc4spring.archetype.form.jsp.portlet	5.3.4		38bdce468d8f1aea701a2e6cc144b1c7ec27e222
com.lihaoyi	ammonite_2.12.1	0.8.1		e921dfa81a2efa1ca0b07e19e3149aa431865096
com.lihaoyi	ammonite_2.12.1	0.8.2		4e449ad262c348157134a644d2097a3f2aa7511c
com.lihaoyi	ammonite_2.12.1	0.8.3		c6dc824ea6496e9bc80d30299c7153918f71ca08
com.lihaoyi	ammonite_2.12.1	0.8.4		d92c2e95cd3046ee697e5d37762b9615d0cc5d15
com.lihaoyi	ammonite_2.12.1	0.8.5		3eae8e89339beae473fb2563168c4a995a019779
com.lihaoyi	ammonite_2.12.1	0.9.0		159a06ff02a9777bec1e692695bab9ed9e2a6c8a
com.lihaoyi	ammonite_2.12.1	0.9.1		ed46f2a38f929a1d6cc61d8d1946d5272c40c607
com.lihaoyi	ammonite_2.12.1	0.9.2		9e741c49c47da379846e45aec068a6d190d2e0e8
com.lihaoyi	ammonite_2.12.1	0.9.3		24bc7590e17669294464aca7d09de5a6bae9d490
com.lihaoyi	ammonite_2.12.1	0.9.4		9deeafd3071cf8720eed1942d869a2ecafe6dabe
com.lihaoyi	ammonite_2.12.1	0.9.5		636e7bfecd63507827839ee0eb6ff7acfe1b2404
com.lihaoyi	ammonite_2.12.1	0.9.6		794108aed39877b83ea88b90ca103e7f8df12c0f
com.lihaoyi	ammonite_2.12.1	0.9.7		7cdfd29d60a9eebd1808ded3a317541cb0d13cd0
com.lihaoyi	ammonite_2.12.1	0.9.8		2d226bfffbdd551e9d24f9628dbd3b658e2c8942
com.lihaoyi	ammonite_2.12.1	0.9.9		bbd801807a47e44a35a1a6fede2ebfb4d61b2b08
com.lihaoyi	ammonite_2.12.1	1.0.0		354d086c0d89a873e283e753e2b821fbf418b28f
com.lihaoyi	ammonite_2.12.1	1.0.0-10-5dc7e0b		dc0305f73f919befa42c56233b2dca70b82ad11c
com.lihaoyi	ammonite_2.12.1	1.0.0-11-8359b9c		e699b8a9426972a402b3a75060c9fbac940531b5
com.lihaoyi	ammonite_2.12.1	1.0.0-13-6b427ef		27486579c5d3311ca5b4dfcc825d68318805b779
com.lihaoyi	ammonite_2.12.1	1.0.0-14-de953a2		0346a85bd9b3ebafe7514b64c552e7d7a34c74d5
com.lihaoyi	ammonite_2.12.1	1.0.0-15-1ea8ed9		529c8445493fe97cc9b4612cde4d325b367489ce
com.lihaoyi	ammonite_2.12.1	1.0.0-9-adc1ffd		c8f6b95f5f540b0e90c17aa53705cd7231448aca
com.lihaoyi	ammonite_2.12.1	1.0.0-RC1		dbc7f83534cdc89145a0bcf35e48a38a44edc699
com.lihaoyi	ammonite_2.12.1	1.0.0-RC2		7707d41cb2d4b8f7ec873ad1f31a32d1c5a47002
com.lihaoyi	ammonite_2.12.1	1.0.0-RC3		f86fa02fb1721a27f282c274ce7a70e98b088897
com.lihaoyi	ammonite_2.12.1	1.0.0-RC4		e69d398c6539cc1d791ac207918e14d74b873861
com.lihaoyi	ammonite_2.12.1	1.0.0-RC5		79f0028b1318db13b4dc4bf335a7108306daf9d4
com.lihaoyi	ammonite_2.12.1	1.0.0-RC6		8c48858f135b9a364f42ddb9b9e628a3e58002de
com.lihaoyi	ammonite_2.12.1	1.0.0-RC7		3c4139a94217eacfa093fc6aeb88288e7d025228
com.lihaoyi	ammonite_2.12.1	1.0.0-RC8		fc16d32dcf29a07e69e193e72fa04d4c5b048e07
com.lihaoyi	ammonite_2.12.1	1.0.0-RC9		a66a95ad2bd7574ae5f4b7f02dcb0e4656de421d
com.lihaoyi	ammonite_2.12.1	1.0.1		28ca04bced4a495afbf475bf0394d27bf6546dd2
com.lihaoyi	ammonite_2.12.1	1.0.1-1-d2e04ce		af0817be750eec6ba8520767b078b093240333e0
com.lihaoyi	ammonite_2.12.1	1.0.1-3-468b67b		4c8118eaff4352c62da5f715b6b889dabd9dcdad
com.lihaoyi	ammonite_2.12.1	1.0.1-6-6d2db3a		1cd1bbc6546c492cda83bfd849c1e11155031fa7
com.lihaoyi	ammonite_2.12.1	1.0.1-7-865402c		ab6f5d26f0e2773f73713dea75c333b75b7b9eb0
com.lihaoyi	ammonite_2.12.1	1.0.2		bbab59dd065a31f4932ce29614594f089f6ccb99
com.lihaoyi	ammonite_2.12.1	1.0.2-1-f40ad4c		041009fcbcfb2d0aed1a5417cffbfb0a0aa6f6e0
com.lihaoyi	ammonite_2.12.1	1.0.2-2-142491d		6e3388e1ce3fe303c12c170593bb600a44dcdd0b
com.lihaoyi	ammonite_2.12.1	1.0.2-3-79f3f8b		802f9f1e2132ab296914c0d4a7a73c792f3cf46e
com.lihaoyi	ammonite_2.12.1	1.0.2-4-73a8741		dc7ea741f422936cda4943944d3c396f7ecdf877
com.lihaoyi	ammonite_2.12.1	1.0.2-5-43b3ca9		be24c51c5e37e4c4798b6c434b3ee9c29a5a9ac3
com.lihaoyi	ammonite_2.12.1	1.0.3		c570bb9d974fb9758d6d3b3221b06edbb30c49a4
com.lihaoyi	ammonite_2.12.1	1.0.3-1-cd346fb		df89280b821eb0e4b995b7d655eff54212e8c156
com.lihaoyi	ammonite_2.12.1	1.0.3-10-4311ac9		1858b8998b824d3b33f652c4e9e770e591fd1325
com.lihaoyi	ammonite_2.12.1	1.0.3-14-ad44c9f		b65029829621dc25325eab541d2d92194aec2c82
com.lihaoyi	ammonite_2.12.1	1.0.3-15-1d378f9		100735f66eec3432af18c40a95771e9ced4ce9c0
com.lihaoyi	ammonite_2.12.1	1.0.3-16-5a4af7b		5587a14741af4ed8ac7c18362e33111b8866c7dd
com.lihaoyi	ammonite_2.12.1	1.0.3-17-a9b5ae3		704219e33b3a4ead2560e163766b55e5a1b5cdef
com.lihaoyi	ammonite_2.12.1	1.0.3-18-9876e2e		689e1d45d09858ecf48289d0ff471de92e375a2c
com.lihaoyi	ammonite_2.12.1	1.0.3-19-d595c71		4e224528764b6c097481d9d8fec8f4f827d085fa
com.lihaoyi	ammonite_2.12.1	1.0.3-20-75e58ac		109f62eed6d5cba65d7a3e02028578896a04c68b
com.lihaoyi	ammonite_2.12.1	1.0.3-21-05b5d32		0507e3d86adc7eadbe339bd314c88064c548e997
com.lihaoyi	ammonite_2.12.1	1.0.3-22-a5855b7		eb1fb497c006dae629ea63840974b8ba34c40ba4
com.lihaoyi	ammonite_2.12.1	1.0.3-23-b07c6dc		12446ea14b6a4da169a57c4a84cd5ba866da0b2f
com.lihaoyi	ammonite_2.12.1	1.0.3-24-9251456		7aab0246e0885af0515b4500dbc96b352ed2f86f
com.lihaoyi	ammonite_2.12.1	1.0.3-25-233d189		97276c25022a42eef9af9e4d078696ef48a37484
com.lihaoyi	ammonite_2.12.1	1.0.3-27-985ecaf		f57d1decd23d19d1e49626474b8f11a55edcb7ae
com.lihaoyi	ammonite_2.12.1	1.0.3-28-b111386		f45c84c1139599f7a1c5318affc8157f11f16450
com.lihaoyi	ammonite_2.12.1	1.0.3-30-ded4f42		1a259979f9690ec7fccae8de9ae6dbc50b3d533c
com.lihaoyi	ammonite_2.12.1	1.0.3-31-51763e6		a17abda0be0e19fc671e6e1c58c0b08dd77147b4
com.lihaoyi	ammonite_2.12.1	1.0.3-32-3c3d657		42a2de6464cba6769715f5d410d5fe6389328bfd
com.lihaoyi	ammonite_2.12.1	1.0.3-33-2d70b25		0ee11f9fa6c3f836c0e163aa10edc6c33ef114cd
com.lihaoyi	ammonite_2.12.1	1.0.3-34-24e8714		3a5d42102bd7d00b895df9651c37f0b8fc7dee03
com.lihaoyi	ammonite_2.12.1	1.0.3-35-b6085be		8bbd4af0e7666bb3bf6a4501858bd5185feabe75
com.lihaoyi	ammonite_2.12.1	1.0.3-36-efa67ed		42fe2c43beaaca7b80cb5d80c015d31884272f5f
com.lihaoyi	ammonite_2.12.1	1.0.3-38-5726e14		c1245ed91b2d75f9a762699ea83366d91d54cc12
com.lihaoyi	ammonite_2.12.1	1.0.3-38-e7010a3		4bfa6e754edc649ba93c4cab689c50801d96dd1f
com.lihaoyi	ammonite_2.12.1	1.0.3-39-9db2c21		9f6c82d75aa1111b90e6636af34addfca2a946e6
com.lihaoyi	ammonite_2.12.1	1.0.3-49-7fa03d0		65c39accb2eef7296dc45314f2715805287d4617
com.lihaoyi	ammonite_2.12.1	1.0.3-52-6dbd4ab		2d6e184a97599a93f868d5ed4e6a74a141cbcdb9
com.lihaoyi	ammonite_2.12.1	1.0.3-6-05e8fb9		0a1ad2a59a7f96209dee63fddb66f20ec9e9f3fe
com.lihaoyi	ammonite_2.12.1	1.0.3-6-4896e9f		f2f76a7683ff3c358ba1f87e553197917c7927f6
com.lihaoyi	ammonite_2.12.1	1.0.3-7-1dada91		010c86daae21803c58358fea0f44dc493a275a5b
com.lihaoyi	ammonite_2.12.1	1.0.3-9-b0b068a		d463957330d0960f24505e023502397ed29b2e19
com.lihaoyi	ammonite_2.12.1	1.0.4-0-8404911		5bdf47c0a35d60b6551397af37522d1ba25ba7d9
com.lihaoyi	ammonite_2.12.1	1.0.5		113b484d58362839c2a89027fce22242312cd3c7
com.lihaoyi	ammonite_2.12.1	1.0.5-1-819bc80		4e52493b8d94e7d02074f002d43a76abb6dd7091
com.lihaoyi	ammonite_2.12.1	1.0.5-10-a673ea0		b4a34351f1173c3d6c9dc9fe1b8b953b7eb63f33
com.lihaoyi	ammonite_2.12.1	1.0.5-11-70bf3f2		b27041017a45207f3be50d440c0e478c3891b85d
com.lihaoyi	ammonite_2.12.1	1.0.5-14-daf7e0d		d8d80d099728f38cc066a45ceaffeed519e1bdfa
com.lihaoyi	ammonite_2.12.1	1.0.5-15-db11210		4cc9b2cb9b2ee2da3a7858e44b21b7ab7fd35846
com.lihaoyi	ammonite_2.12.1	1.0.5-21-2f995c1		5b6e7bdf3bd286b3d78c309462e211e9dce6eee6
com.lihaoyi	ammonite_2.12.1	1.0.5-22-16b9cde		b70186316fa8216d95c753462ecfcc7888e41a29
com.lihaoyi	ammonite_2.12.1	1.0.5-25-b3b801e		959cdcb529e24956aaa92670447b1ed7b57908b2
com.lihaoyi	ammonite_2.12.1	1.0.5-26-c8a9dd3		d58945ba14d0f52a9823ad0dc17bab10605ab946
com.lihaoyi	ammonite_2.12.1	1.0.5-4-c0cdbaf		080b19ae6712b8a7028869181f1030eb3eb9c88c
com.lihaoyi	ammonite_2.12.1	1.0.5-7-f032887		159ba81a712b938976c0421c737b37782755278b
com.lihaoyi	ammonite_2.12.1	1.0.5-8-ac754ee		3b9045a00503378b1cc45da3c258a5d5045b514d
com.lihaoyi	ammonite_2.12.1	1.1.0		e75a40ad29a3eb3077adee2ab38f75b3bea84894
com.lihaoyi	ammonite_2.12.1	1.1.0-1-6221cbc		da86e293df4d7d4b8b961ffdfc03bc70c5272a68
com.lihaoyi	ammonite_2.12.1	1.1.0-11-1d8b039		424b179b96dd47f8ede07e0aececed927b06ff91
com.lihaoyi	ammonite_2.12.1	1.1.0-12-f07633d		437b061523171fa5150b5ce7164baac9712cb108
com.lihaoyi	ammonite_2.12.1	1.1.0-13-7446d8f		efb3639733bbf1769539c7a1c2394adb460c0147
com.lihaoyi	ammonite_2.12.1	1.1.0-14-037b8eb		b730eb6c3d1901f250d5c7987e2b5348450fb412
com.lihaoyi	ammonite_2.12.1	1.1.0-16-147fdfe		2121d717f053bdbac25145f622e6fe95ebc9470b
com.lihaoyi	ammonite_2.12.1	1.1.0-17-6c3552c		98fc87462bc2e0987fe81d65cf13c49f0b7fb568
com.lihaoyi	ammonite_2.12.1	1.1.0-18-0dc8a8e		295ee5d1a5d60f482d17e340476b5b1a92db16a0
com.lihaoyi	ammonite_2.12.1	1.1.0-2-1288b4d		68cf8fbcde5966e493fe3cf7c6813fb67dc8c0c6
com.lihaoyi	ammonite_2.12.1	1.1.0-21-ccc8024		5d8ff7313568461aaa5032bb883baaaad0ca81e1
com.lihaoyi	ammonite_2.12.1	1.1.0-22-1cbf71e		f60819129b04cf6ea33d329b1c5f4680cd4f7d64
