africa.shuwari	version-zio-prelude_native0.5_3	0.5.0	-	265f4efeabe0ba0fad4cba7c52e11c063fbc069c
app.myoss.wechat	wechat-starter-pay	1.1.1.RELEASE	-	d4eaa17742788ca86b24e13e882a5bf5e501f8d9
app.myoss.wechat	wechat-starter-pay	1.1.2.RELEASE	-	c0d2cb9d82ee212a906257b989bb5d62f7c10982
app.myoss.wechat	wechat-starter-pay	1.1.3.RELEASE	-	8fcbcbc87130ec3ca1ec6172f38d64a4c5e3389b
app.myoss.wechat	wechat-starter-pay	1.1.4.RELEASE	-	87583672750691369952c4136a905f7418d6aead
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.1	0.0.1-metadata	cf8850f46f3fe902a7716e0da984f8fe08dfda8e
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.10	0.0.10-metadata	1b5ff71ef6693711aff969c4b8f3f4016b128373
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.11	0.0.11-metadata	757de6fdc437de984cf464e2153561eadf52d361
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.12	0.0.12-metadata	10277a0bf21c7729e21cc297e917d9a334ca32a6
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.13	0.0.13-metadata	8caba10fc72ce943148af3cc5d860f6e8e66f410
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.15	0.0.15-metadata	3bf3ed37dcdbd971fca45726d21eec7d5af8d8a7
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.16	0.0.16-metadata	d7f55671d1055086493ee3771fe007d13503a868
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.17	0.0.17-metadata	e5250a35895c570f054955f8ae10cce0324fc696
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.18	0.0.18-metadata	ad819ec8d7f5ec768531d148ef193ee2e72a9b54
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.2	0.0.2-metadata	e353e29ca9f97e0ff9438f4c58712cefce1b904a
