HTTPClient	HTTPClient	0.3-3		8c601a287ffbf8a89b9c491d5966b999cd71dd8b
com.ToxicBakery.android.version	versions	1.0.11		N/A
com.ToxicBakery.android.version	versions	1.0.13		N/A
com.alibaba.blink	flink-connector-kafka-0.11_2.11	1.5.1		6e53f6bdd695619bb0f85e71936e458a05333173
com.alibaba.blink	flink-connector-kafka-0.11_2.11	1.5.1	sql-jar	0ed5f69bbbc7a607d496ba9cb790a88828c6041b
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.2.0		4210232fe10db36f3a389d730e8ffd194137b389
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.2.0	sql-jar	283197bac2e80815580a9093b116317b8d7f6007
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.2.1		14e262205ab8126f8baaf3177ec598c443cd2645
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.2.1	sql-jar	4eaa3a7569b0a700e0bff3cc41ad3e90a2a8efe6
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.2.2		c0e2f1d1ec3b45d157e58aaec3e248e07be8e3cb
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.2.2	sql-jar	472fae30545ec2d09a94928b3418658186f02111
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.2.3		ccd0e44f51020339aeb815c674ca4db989b784c7
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.2.3	sql-jar	791a2f9e5c9a9f2c0e7930d8d393e1db78f26f00
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.2.4		a1c58f1f7bcb361fdd510b82c100d86d1c6314cc
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.2.4	sql-jar	9fa453956e5cc2307a6437455d5981e73f1f653d
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.3.0		b8c13e87484cfc5168b4fb17a500e625cd04c26f
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.3.0	sql-jar	17e7c85d38477d72af91d9bac64d620a5d30b5a1
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.4.0		eec204505402b467dff0fbb9dc5be943cbd493b0
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.4.0	sql-jar	cf941440bcf5b643b74fe3182c78642e34ef6116
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.6.4		de07456bc3be3a884176b3f6f5307ae263055f70
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.6.4	sql-jar	20d4187fe0a463b6eeaba584a10b4452c509c4c5
com.alibaba.blink	flink-connector-kafka-0.11_2.11	blink-3.6.8		7e69feca94451021d3da3e2b8bd8b03f612a3507
