ch.epfl.scala	input_2.13	1.4.0		ca6e187050eb98e861bcdfaa07a0b2955fa3fc0c
com.aliyun	aliyun-java-sdk-ddosbgp	1.0.0		d814f18edb9207bbe55b5559aa115849c0c13f3d
com.gitee.hljdrl	ffkit	2.0.0		N/A
com.gitee.hljdrl	ffkit	2.0.1		N/A
com.gitee.hljdrl	ffkit	2.0.2		N/A
com.gitee.hljdrl	ffkit	2.0.3		N/A
com.gitee.hljdrl	ffkit	2.0.4		N/A
com.github.adedayo.eclipse.sdk	org.eclipse.jdt.apt.tests	3.4.0		f090d3d6e1a7d51d2575289e623869f3c6fba7b7
com.github.alonsodomin.colog	colog-core_sjs0.6_2.11	0.1.1		2b14338d09411a93e6ff2f0aec1228936489f75d
com.github.houbb	auto-trace-core	0.1.0		aec629c1b37b96f11b8332cd4d50d4146a0e0f3e
com.github.houbb	auto-trace-core	0.10.0		7ee7f315a34f9367dc57fb369c588bad54a0bc88
com.github.houbb	auto-trace-core	0.11.0		ff53a3eef7eac9c3dde59cee7dbb62f719ea1e8c
com.github.houbb	auto-trace-core	0.2.0		9ec21e2cc22c60424b1d12f3d3e26dfd771f6db8
com.github.houbb	auto-trace-core	0.3.0		340cb62eb6a6968eeb48244dadfbe63eeb58dbd4
com.github.houbb	auto-trace-core	0.4.0		ecf08b3feb3cd565db374b381a2b12e08412d3fc
com.github.houbb	auto-trace-core	0.5.0		1e828a20d3d8ecb770f78bf9d4e3ac37a774dd17
com.github.houbb	auto-trace-core	0.6.0		6dbc45fe8ae9b86671acf7ab402d47e27db84603
com.github.houbb	auto-trace-core	0.7.0		376cc0e634b7ff62e0e1b1a3160036879a893655
com.github.houbb	auto-trace-core	0.8.0		cd013888030e85ccbe9b846a396fd4a3a5dc8ff6
com.github.houbb	auto-trace-core	0.9.0		5ae8ca8500bb8bfd06df4f5ebab6bf1c12c04e36
com.github.scullxbones	lift-util_2.13	3.4.3-LJ-patched		ec9ed3f1ed63a333adc5bce3686b15127a86918b
com.gu	pan-domain-auth-play_2-6_2.12	0.6.0		f559507f69e4b1bc9e53f96ccd18ae42d24e174a
com.gu	pan-domain-auth-play_2-6_2.12	0.7.0		6e9849c4bdc86bd5fa23fbcb2986136dad31a7b4
com.gu	pan-domain-auth-play_2-6_2.12	0.7.1		986f8729ef8b84c22d25c93ddaf0fa92888ab024
com.gu	pan-domain-auth-play_2-6_2.12	0.7.2		b9252ec9fb2107d33880aa8fe59423c6540f164b
com.gu	pan-domain-auth-play_2-6_2.12	0.8.0		a5f9eb1a7cc498ef3e62ea5b01c2e133b0c9c603
com.gu	pan-domain-auth-play_2-6_2.12	0.8.1		2ea0b5f44575c597acc321c9ec0a0dadc0f74e85
com.gu	pan-domain-auth-play_2-6_2.12	0.8.2		766f676383b282bc8ca61f548d984034b2dcaf28
com.gu	pan-domain-auth-play_2-6_2.12	0.9.0		8fc6f526c85abb484b355d08f32e68ce42b80670
