ca.stellardrift.guice-backport.extensions	guice-dagger-adapter	5.0.1		4e29ca99ae0c65d364fa30edc4102724290ab2de
com.addthis	cronus	0.1.0		001af517f2d0587f1d4249424bb89324c4ccde63
com.alibaba.csp	sentinel-cluster-server-envoy-rls	1.7.0		be6dffe83d36a6dc2af5eb0b4a6ac2f8a4a67506
com.alibaba.csp	sentinel-cluster-server-envoy-rls	1.7.1		9a3cedd337562df9b663c1480b1014d67abde532
com.alibaba.csp	sentinel-cluster-server-envoy-rls	1.7.2		48878bea5069c6613dca884420e2827851fdec9d
com.alibaba.csp	sentinel-cluster-server-envoy-rls	1.8.0		9744e8ab00b49ccd92b2b28ef9cd1b6aa8dc6f8d
com.alibaba.csp	sentinel-cluster-server-envoy-rls	1.8.1		273cbfe7b8c6c08b57e957494548d405f4f5db96
com.alibaba.csp	sentinel-cluster-server-envoy-rls	1.8.2		bb392bdd4734e6b6f927688ca95f3784bc679bf4
com.alibaba.csp	sentinel-cluster-server-envoy-rls	1.8.3		4f3ffef1027f37ac721bef52f1b6d0c4e00f5135
com.alibaba.csp	sentinel-cluster-server-envoy-rls	1.8.4		78edb9c99e7e023274c6304ca7856a42ee7c7491
com.alibaba.csp	sentinel-cluster-server-envoy-rls	1.8.5		13df98909224cab5ccfb3fb2df03bea1b9a2ba27
com.alibaba.csp	sentinel-cluster-server-envoy-rls	1.8.6		008aae39b9750b04d7d820a64cafaee1a3791922
com.alibaba.csp	sentinel-cluster-server-envoy-rls	1.8.7		0574ad6e74f2488b600d8627e3fe0e9342011bce
com.alibaba.csp	sentinel-cluster-server-envoy-rls	1.8.8		b1a18eb70d9edebf92220a815eff83d250f9d3e2
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.2.0		c1951d460c672b6247b4e0d20d83e899d01022aa
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.2.0	module	5671dadd8615480adbb941d4b5868288a6015c7c
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.2.0-Alpha4		28a9bc4463ec2ef4676a3f1fc2ec91562cb1439b
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.2.0-Alpha5		494a19d2f7cec055df5d5f1090992eafce7c5818
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.2.0-Alpha6		d78f02471621669ae6d5a31cdc516097abc21920
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.2.0-RC1		ca86705d728676ccca3c2db5328ad4c8181e5260
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.2.0-RC1	module	ee2f76ebe35d0aad6baa386284b9638f4a624c37
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.2.1		bbd48a4027db97c4e78b5b0483b64e7f3554d46d
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.2.1	module	2c3fad42181ed0d8613a549619394367bdecf9f5
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.3.0		fa1a719072980288b6a380e05d72616b515a0683
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.3.0	module	11c0f0050222cfdde1f1da60378e124d12e89d9e
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.3.0-Alpha1		573b3bdc23c99dcbe5baec80f997a1e310654261
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.3.0-Alpha1	module	a0d369ed80d8124e00e0b1d0d48a030f90166bbb
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.3.0-Alpha2		6bcba0bd4dcc51229a97b399e35cfc658865f4c1
com.blazebit	blaze-persistence-integration-deltaspike-data-testsuite	1.3.0-Alpha2	module	68a8e2b3ffd3dac2378167166928ce2d28802bcb
