app.keyconnect.api	keyconnect-api	1.0.0		fca4c10f27ead03beb6bdd9669802cc6cbf00f37
au.com.integradev.delphi	sonar-delphi-plugin	1.0.0		23b95df50897a943d515f51ed26860cefb30e399
au.com.integradev.delphi	sonar-delphi-plugin	1.1.0		fe4e96bc676d6891b6a7ab103e66e3a8465b3ec2
au.com.integradev.delphi	sonar-delphi-plugin	1.10.0		4c66b33f9e70a6b327d7ad6e2b5c2b0425a3468b
au.com.integradev.delphi	sonar-delphi-plugin	1.11.0		b2c1cf9d417609fd7031fdabf2bbbae1cb0b6a1b
au.com.integradev.delphi	sonar-delphi-plugin	1.12.0		1f5792d8255337d856e2f192338b4fb7139f04ce
au.com.integradev.delphi	sonar-delphi-plugin	1.12.1		2a51b3fd8805a25a3fd58d768342c43cff9347c2
au.com.integradev.delphi	sonar-delphi-plugin	1.12.2		361bff6738dce65d0d30410a64f6dc4820ac187e
au.com.integradev.delphi	sonar-delphi-plugin	1.13.0		7a7bb97faa4a33f5f2d494e47c472cdd74d7396f
au.com.integradev.delphi	sonar-delphi-plugin	1.14.0		99b114744f8853d26b60db22bd9ddf80f9f6d710
au.com.integradev.delphi	sonar-delphi-plugin	1.14.1		a31f2c5dea03ee31b6804081b381e625e4642970
au.com.integradev.delphi	sonar-delphi-plugin	1.15.0		253413e9187d491d0b899b14f71448970078a25a
au.com.integradev.delphi	sonar-delphi-plugin	1.16.0		daaae42d9309c70e40fdd50f415fa8feb3fc461a
au.com.integradev.delphi	sonar-delphi-plugin	1.17.0		30ece8af14559c7a1342ba73019744ec457e04ea
au.com.integradev.delphi	sonar-delphi-plugin	1.2.0		0e0ab4fe29fa96a2e615a613550f3307c0e0aa40
au.com.integradev.delphi	sonar-delphi-plugin	1.3.0		95c3a3f844a0d674412186fbcedc25456232f370
au.com.integradev.delphi	sonar-delphi-plugin	1.4.0		22b249b408233f60a293ac5aa9afaf98b37a2973
au.com.integradev.delphi	sonar-delphi-plugin	1.5.0		fa15fa99b0d6d8e8b937d83484117059bb814da0
au.com.integradev.delphi	sonar-delphi-plugin	1.6.0		123bc2e14969e730a7cc0e88cca8882bace2acb7
au.com.integradev.delphi	sonar-delphi-plugin	1.7.0		b65f43801725ab749279710eee75330c825a12b3
au.com.integradev.delphi	sonar-delphi-plugin	1.8.0		d1bddf37c21e7f0d1cd97ec74d00e49aa13a037b
au.com.integradev.delphi	sonar-delphi-plugin	1.9.0		e8b2f59dcc85d10c7af26727c74b79b66e165fe5
ca.dvgi	periodic-pekko-stream_2.13	0.5.0		671a11280e96281d0ba727d51c9a93d234e6debb
ca.dvgi	periodic-pekko-stream_2.13	0.6.0		171adc47d5041d26498df8c4366f6829ebf127c6
ca.dvgi	periodic-pekko-stream_2.13	0.7.0		a27853c9ada38e599c6dff455d9019911a11a37a
cn.codest.mybatis-pager	parent	1.0		N/A
colt	colt	1.0.3		607f4f891c2707aeeb77fe4d1916945279f31b82
colt	colt	1.2.0		0abc984f3adc760684d49e0f11ddf167ba516d4f
com.alibaba	druid-spring-boot-starter	1.1.0		b10347d2115c856de44565ed7d4a01ff2689e908
com.alibaba	druid-spring-boot-starter	1.1.1		33a2508ab5a8468d787eab67b6762f1584f3f542
com.alibaba	druid-spring-boot-starter	1.1.10		f8f2f6c06a3ae43d19221e62e3579825d25a845c
com.alibaba	druid-spring-boot-starter	1.1.13		e8398d13b34ba973b320b074df0a57009ac81a3b
com.alibaba	druid-spring-boot-starter	1.1.14		0f29b419504005a61e2cc2a95b54cb208c8b9cfe
com.alibaba	druid-spring-boot-starter	1.1.16		13072a5da71a958aea047deddb636ceff8a2475c
com.alibaba	druid-spring-boot-starter	1.1.17		ae0e946767bdc7ae344fae1f84542cef5d2986f7
com.alibaba	druid-spring-boot-starter	1.1.18		75cc88efdccfb0ec3762fee73788daea475cac8d
com.alibaba	druid-spring-boot-starter	1.1.2		ca000fcae62a06a4eff26163a6a9b024d3779f0b
com.alibaba	druid-spring-boot-starter	1.1.20		c8600cf26fe22cf9b00b53c1523dd771df7e1696
com.alibaba	druid-spring-boot-starter	1.1.21		ba3aea7ff91fa761e50fad08edb1b1dd048fb427
com.alibaba	druid-spring-boot-starter	1.1.22		85052fe8568c8e4fbfd90951286fc5c9533d4637
com.alibaba	druid-spring-boot-starter	1.1.23		2723c3f5f7b043581da0c277d951f23ff3705ae7
com.alibaba	druid-spring-boot-starter	1.1.24		947c2ef24fbf9ee1cd731bab6591c22df370645b
com.alibaba	druid-spring-boot-starter	1.1.3		92fa529770df83c46d52996f260153b8b108e87f
com.alibaba	druid-spring-boot-starter	1.1.4		104ccce6dcb8b7931e08bca5b335f414171cf1b0
com.alibaba	druid-spring-boot-starter	1.1.5		86bb5255f8329e4289018441763dda9d18c6c6c8
com.alibaba	druid-spring-boot-starter	1.1.6		dd6be8603ffaeb6bf92a3fc4dbd56ba117ab9771
com.alibaba	druid-spring-boot-starter	1.1.7		cfff59b42193928c89efa30122780e706702b73a
com.alibaba	druid-spring-boot-starter	1.1.8		6c60cbe2dc34fa872b74a2c85f48ac2f3aa1da09
com.alibaba	druid-spring-boot-starter	1.1.8_20180212		c7423b7f6342357d1ffa855e74e51791cc6f2f19
com.alibaba	druid-spring-boot-starter	1.1.9		7c133b4dbf3c94e1dd81c5bb5e4a4724ffa15d5e
com.alibaba	druid-spring-boot-starter	1.2.1		0e37a56fee77f28f043d9ce32ba72a73c86839e8
com.alibaba	druid-spring-boot-starter	1.2.11		3c5e90cca3d805c899811ef4486e64be4e09e987
com.alibaba	druid-spring-boot-starter	1.2.12		676d494afa03df9820c8baafd2ff96288d55cd7a
com.alibaba	druid-spring-boot-starter	1.2.13		d082f9251c023df8d480ad7dc6e5c79df7cdbdfd
com.alibaba	druid-spring-boot-starter	1.2.13-SNSAPSHOT		9aeff44ee24815bac358771402a068fb7a458a47
com.alibaba	druid-spring-boot-starter	1.2.14		54eecf7bb0837563c847ed7441c5382f15de1d68
com.alibaba	druid-spring-boot-starter	1.2.15		1709efbdd34ab3a1685520723a8d9d0844374df8
com.alibaba	druid-spring-boot-starter	1.2.16		5b77f4821d6dd9ff67e611799d03b6053bdd6b96
com.alibaba	druid-spring-boot-starter	1.2.17		6b58c6eb50641e21cbc2880b21c7ca82c8920cfd
com.alibaba	druid-spring-boot-starter	1.2.18		c3a47cd9a4751aaeaa85ac97dbd02507150b9275
com.alibaba	druid-spring-boot-starter	1.2.19		0dfdddf9e0dec076c8664e23770eb2b67a149e6e
com.alibaba	druid-spring-boot-starter	1.2.2		63634c14779e8e9c03ccecca9e7812abd1fba818
com.alibaba	druid-spring-boot-starter	1.2.20		26d67a50479e806f3e479b461b9eeb12911a19cb
com.alibaba	druid-spring-boot-starter	1.2.21		e7d5c119cbe8ce7e14cdd886777a658cfdc7bf98
com.alibaba	druid-spring-boot-starter	1.2.22		bff968949514c15d538a497b352a4464449be24d
com.alibaba	druid-spring-boot-starter	1.2.23		6dd593751246d22e1479aae600511c6a5ad1e14c
com.alibaba	druid-spring-boot-starter	1.2.24		84ae074c4f31c09e1cf665605100573fb2c7e22d
com.alibaba	druid-spring-boot-starter	1.2.3		401e7723d4e3dfc122f5a00832662d2b00c6bc91
com.alibaba	druid-spring-boot-starter	1.2.4		ee37de3a857bba3efca4bcc316c12636c1df0132
com.alibaba	druid-spring-boot-starter	1.2.5		a1aaf4377e28a4f7bf11beb0af9cbb0a7c02b7f8
com.alibaba	druid-spring-boot-starter	1.2.6		28810b3da562b2e9eee21ef5280ea166ae17d409
com.alibaba	druid-spring-boot-starter	1.2.8		6ceb13f2acbb3d91606de58b39c7c663dc9e9aee
com.alibaba	druid-spring-boot-starter	1.2.9		8f6c6ca8a8df0afe4000b8429dfc8bef3ee3e97a
com.baremaps	baremaps-blob-s3	0.4.0		c8c8be008aa1dcf0dee0ff7d5746992099ae5484
com.baremaps	baremaps-blob-s3	0.4.1		38f58e34080a181fb20fe14680d2568548b8afc3
com.baremaps	baremaps-blob-s3	0.4.2		73a464c7f6102217d5156b4e475979dbf7190320
com.baremaps	baremaps-blob-s3	0.5.0		c5b2e8711d3cd39f2e8d8e4c53add6472c265ea3
com.baremaps	baremaps-blob-s3	0.5.1		357659b52b9ef4b623e8bc5f614f79f852de1529
com.baremaps	baremaps-blob-s3	0.5.10		244ca013166df69331ef67f8ffca30f7ec6bb0ef
com.baremaps	baremaps-blob-s3	0.5.12		54e840722e51d78e47991d94db2d4a6bbecc82fb
com.baremaps	baremaps-blob-s3	0.5.13		19d162c1a07e421b016ab8b9f54cacd77e519302
com.baremaps	baremaps-blob-s3	0.5.14		6e80351a499896f69c289f12024179ca5838704d
com.baremaps	baremaps-blob-s3	0.5.2		92057037f6eb2712c35e9da5f999de04f777790f
com.baremaps	baremaps-blob-s3	0.5.3		19f9b34d1d89ff130932d0b0d74058fb907ccb17
com.baremaps	baremaps-blob-s3	0.5.4		fcc7a48fa3f333c6d15b5cf136255adf56ff4627
com.baremaps	baremaps-blob-s3	0.5.6		bdae01a5d9e100afb4e08c0386aa033af67477e3
com.baremaps	baremaps-blob-s3	0.5.7		4700ebfc923f129c7f9b3d0903bbea10fee2506f
com.baremaps	baremaps-blob-s3	0.5.8		0d3a704688ba8ea5a9c4b1ce667d814274e07536
com.baremaps	baremaps-blob-s3	0.6.0		3dd93bff4ba346ed53c0d277e0a0b68f9fae436d
com.baremaps	baremaps-blob-s3	0.6.2		4ea01f2e55ff7d31ceacf75fe472bb634f3fdd17
com.baremaps	baremaps-blob-s3	0.6.4		8232aba393e6abb99a4b40fb4cea832f962a393f
com.baremaps	baremaps-blob-s3	0.6.5		43db6c5b3cff14cdb73ffc46bf2c650b40a87f74
com.composum.platform	composum-platform-models-package	1.0.4		N/A
com.composum.platform	composum-platform-models-package	1.0.5		N/A
com.composum.platform	composum-platform-models-package	1.1.0		N/A
com.composum.platform	composum-platform-models-package	1.2.0		N/A
com.composum.platform	composum-platform-models-package	1.3.0		N/A
com.composum.platform	composum-platform-models-package	1.3.1		N/A
com.composum.platform	composum-platform-models-package	1.4.0		N/A
com.composum.platform	composum-platform-models-package	1.5.0		N/A
com.composum.platform	composum-platform-models-package	1.6.0		N/A
com.composum.platform	composum-platform-models-package	1.7.0		N/A
com.composum.platform	composum-platform-models-package	1.7.1		N/A
com.composum.platform	composum-platform-models-package	1.7.2		N/A
com.composum.platform	composum-platform-models-package	1.8.0		N/A
com.coveo	fmt-maven-plugin	1.0		76bed4e44835c47006cd83b5b621914c1a13beb9
com.coveo	fmt-maven-plugin	1.0.0		10a76439a31c3900c6bf83bd9f9a6c5a2d64edd3
com.coveo	fmt-maven-plugin	1.1.0		09b1dc4f5c4276c7bca122d753805c22760c02fd
com.coveo	fmt-maven-plugin	1.2.0		33bf726e357af7b60638e33254ef2f85f9f4da3e
com.coveo	fmt-maven-plugin	1.3.0		f988365d444d25be17534f6207c875b36d066f62
com.coveo	fmt-maven-plugin	1.4.0		94834891e299945b6ffd148342a6221448e0512b
com.coveo	fmt-maven-plugin	1.5.0		864879d985a7da2dfd6f5655713d7d407d592c98
com.coveo	fmt-maven-plugin	1.6.0		947f7a6265246dc5f57a1880164611eba65c4e41
com.coveo	fmt-maven-plugin	1.7.0		45f11caf2ac83372335d2d0251d094ec6a50bb53
com.coveo	fmt-maven-plugin	1.8.0		dc273011bee4b37f04ac366e78c31e7a6c178aa0
com.coveo	fmt-maven-plugin	1.9.0		342cc1feaa5e3ba33242e1f798f6bd040957ef62
com.coveo	fmt-maven-plugin	2.0.0		1fc7d4f103044cd99e799a75030e5dbff1cb95fd
com.coveo	fmt-maven-plugin	2.1.0		6c1b97d5fde56d661e1c0030256f34255fc78a4c
com.coveo	fmt-maven-plugin	2.10		e5cbaf9bff7b6f02c4e6b5c967cf81c68235403d
com.coveo	fmt-maven-plugin	2.11		92328981efebf0d034d6c05fd1d1ea66b041396e
com.coveo	fmt-maven-plugin	2.12		a983b10cff74e2dd8d9a2d31ac555a41f06d0327
com.coveo	fmt-maven-plugin	2.13		4bbf7bc09714a2f1ea321d2bf90a45b8beaf3c8a
com.coveo	fmt-maven-plugin	2.2.0		37652bebb4d96a9921f6cd63fa5c9fcddbbc0102
com.coveo	fmt-maven-plugin	2.3.0		6b9cca98e0a2204b496b5f8cca07d52169d36682
com.coveo	fmt-maven-plugin	2.4.0		dfedf001707a65c31c4b25236509c51fec39a76b
com.coveo	fmt-maven-plugin	2.5.0		2b6a14b7372d7aadb33332c8723bedd5a57aed31
com.coveo	fmt-maven-plugin	2.5.1		d90949fe02dedd032438b3f3d699f4696860b71b
com.coveo	fmt-maven-plugin	2.6.0		783aa78b9f4e4268c962985b2439e51195292c32
com.coveo	fmt-maven-plugin	2.7		9a967c2578e0b22a3bd758990f5fb72ee8c81c68
com.coveo	fmt-maven-plugin	2.8		8b8e9b587a17c09726705472e5d18af5810204f6
com.coveo	fmt-maven-plugin	2.9		645d30fb079b0b262c5b8f754cf3f47101af406e
com.coveo	fmt-maven-plugin	2.9.1		b9e23dcda7579bb2136c75a824954458376fc1f9
com.github.spirylics.xgwt	x-gwt-analytics	1.6		d273a3a31d33293d8c0a9248ffa91d13261f0880
com.github.spirylics.xgwt	x-gwt-analytics	2.0-alpha1		82692ab5f83046d417fd82d24405dc6d35b91c21
com.github.spirylics.xgwt	x-gwt-analytics	2.0-alpha2		4f7ab381acdc2465c510f078bb228526845a9151
com.github.spirylics.xgwt	x-gwt-analytics	2.0-alpha3		e6610e64abe84aea683489f424f7f4589f146af3
com.github.spirylics.xgwt	x-gwt-analytics	2.0-alpha4		9987950ae7e00a28e4a7c971f872a1506b1c7773
com.github.spirylics.xgwt	x-gwt-analytics	2.0-alpha5		53818552578fa3c6890ddf3768e93c1faef6e6f4
com.github.spirylics.xgwt	x-gwt-analytics	2.0-alpha6		226d330762235ab534b60dae50e7ea8a680e0ba8
com.github.spirylics.xgwt	x-gwt-analytics	2.0-alpha7		0dd7fea20927f803c203820a90f5719ed3860753
com.github.spirylics.xgwt	x-gwt-analytics	2.0-alpha8		0286b60841b62229e96ef616fcd4f42108d3362b
com.github.spirylics.xgwt	x-gwt-analytics	2.0-alpha9		16980039860acfb79bfa93445b5a1f11155f8d44
com.google.code.sbt-compiler-maven-plugin	sbt-compiler-sbt0131	1.0.0-beta4		06273f8976a6c640b0054d3e16d6741595728b0b
com.google.code.sbt-compiler-maven-plugin	sbt-compiler-sbt0131	1.0.0-beta5		86fa433956cebdc0f67e8c71b50059f1142b553a
com.google.code.sbt-compiler-maven-plugin	sbt-compiler-sbt0131	1.0.0-beta6		2a9aedf2c18554f51dc31c648f56bc7863392ad2
com.google.code.sbt-compiler-maven-plugin	sbt-compiler-sbt0131	1.0.0-beta7		0aac04423f458d762a4e6b5786b60dbedd36bdad
com.googlecode.jperipheral	jperipheral-java	1.0.10		3238b4995ce2b4e13a58f58eebca63b40cfcd9c0
com.googlecode.jperipheral	jperipheral-java	1.0.12		511a2820effaac2bbd5325c765b23a8c16b84e53
com.googlecode.jperipheral	jperipheral-java	1.0.13		4130655b7bde50c4b500151c0a8b7791ff08924b
com.googlecode.jperipheral	jperipheral-java	1.0.14		23576670cd18d5182dc6ae095ae14f90eb0e9e2e
com.googlecode.jperipheral	jperipheral-java	1.0.15		c9dfee59b0d3bbd8a33400f95f504b94a56045ae
com.googlecode.jperipheral	jperipheral-java	1.0.16		b2fe0d2df148ba725b56feda16db35e968fe480d
com.googlecode.jperipheral	jperipheral-java	1.0.17		d0bc27b9b64da7e47536d42268b4c28bb4c4ed7c
com.googlecode.jperipheral	jperipheral-java	1.0.18		969d8ac7760a67a596992ef932378d9e2289d541
com.googlecode.jperipheral	jperipheral-java	1.0.4		98408635db68a70bef4510779be13d76f406f1d3
com.googlecode.jperipheral	jperipheral-java	1.0.6		aaed18552677f865a9d685a50f1223b5dbf4f887
com.googlecode.jperipheral	jperipheral-java	1.0.7		7a1e96e79454e30259d7524dd437c58dc86cb7f0
com.googlecode.jperipheral	jperipheral-java	1.0.9		2a604b0eccb2bf9d3d5cb4cd1bf547abef38ec2b
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.1		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.10		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.11		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.12		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.2		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.3		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.4		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.5		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.6		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.7		N/A
com.ibm.websphere.appserver.features	io.openliberty.jcaInboundSecurity1.0.internal.ee-6.0	24.0.0.8		N/A
