biz.aQute	osgi.enroute.equinox.log.adapter	2.2.0		8824F686BB72D23DE2B9AB84D250A87A87344796
cn.afternode.commons	bungee	2.1.0		2e55415f7739b98996995dbdb1279784f014971d
cn.afternode.commons	bungee	2.1.1		4afc7c9225d4238265abed773cf8558f6166db81
cn.afternode.commons	bungee	2.2.0		49796b95f68a90425f8e9b218a2b5098a0448e87
cn.afternode.commons	bungee	2.3.0		e81c8881b1bb2a52a79b0d9e307028a590c38e07
cn.afternode.commons	bungee	2.4.0		a27ea8287bb9c7848f75eadd41ef21f52d8e38a3
cn.afternode.commons	bungee	2.4.1		1ae9abdbe2492ab055a97a55ecc0dcf76cb01202
cn.afternode.commons	bungee	2.5.0		ea8ca4a1ac0c0f4d28e29b31ec45ad8f0928111d
cn.afternode.commons	bungee	2.6.0		a4840027cf30d2cfac5291254fcf7f8c43260491
cn.afternode.commons	bungee	2.6.1		ccd94a8aa9cad9183a84efbcd5ac3ccca04baeb0
cn.afternode.commons	bungee	2.7.0		0670ec5eea448aa75af0d3fe778700028af1740f
cn.afternode.commons	bungee	2.7.1		88379d61424702495497c377bf914962786658a3
cn.afternode.commons	bungee	2.8.0		13500d5eb8ac42ad61aa642a5ef5129750ba1509
cn.afternode.commons	bungee	2.9.0		e7e382944c84959a797ba6d7f99723574488e6e0
co.amity.android	amity-push-fcm	5.35.0		N/A
co.amity.android	amity-push-fcm	6.43.0		N/A
co.amity.android	amity-push-fcm	6.44.0		N/A
co.amity.android	amity-push-fcm	6.45.0		N/A
co.amity.android	amity-push-fcm	6.45.0-alpha02		N/A
co.amity.android	amity-push-fcm	6.45.0.-alpha02		N/A
co.amity.android	amity-push-fcm	6.46.0		N/A
co.amity.android	amity-push-fcm	6.46.0-		N/A
co.amity.android	amity-push-fcm	6.46.0-alpha01		N/A
co.amity.android	amity-push-fcm	6.47.0		N/A
co.amity.android	amity-push-fcm	6.48.0		N/A
co.amity.android	amity-push-fcm	6.50.0		N/A
co.amity.android	amity-push-fcm	6.50.2		N/A
co.amity.android	amity-push-fcm	6.50.4		N/A
co.amity.android	amity-push-fcm	7.0.0		N/A
co.amity.android	amity-push-fcm	7.1.0		N/A
co.amity.android	amity-push-fcm	7.2.1		N/A
com.acxiom	metalus-core_2.11-spark_2.4	1.5.0		5e4f9df4a1f8f1b9ec03835d656060dc5570705c
com.acxiom	metalus-core_2.11-spark_2.4	1.6.0		2b29230f831b35f15a9c2cf95159a876e8981a03
com.acxiom	metalus-core_2.11-spark_2.4	1.6.1		4f01ae5a41793998890fefb94d213e0dc4227b41
com.acxiom	metalus-core_2.11-spark_2.4	1.6.2		6d61168f2bc4ced3dfce7c41e27d5afb70b66f9c
com.acxiom	metalus-core_2.11-spark_2.4	1.6.3		0ea71a64bfb10ff271d8ad21e2110a49930c9d3f
com.acxiom	metalus-core_2.11-spark_2.4	1.6.4		f3d0558def087b25201e2be8d6ac082f5fa7573a
com.acxiom	metalus-core_2.11-spark_2.4	1.6.5		742adeb4ec28d448b7695504098dcb83c30105a4
com.acxiom	metalus-core_2.11-spark_2.4	1.6.6		24b8a1e1711242d589aba3b4ff04471b02e4e407
com.acxiom	metalus-core_2.11-spark_2.4	1.7.0		d1444a488a9f0474a3c125b008e147335cd1d63d
com.acxiom	metalus-core_2.11-spark_2.4	1.7.1		83a3654753c61bd477786738ee61a19d2da08ad6
com.acxiom	metalus-core_2.11-spark_2.4	1.7.2		1c3321af2c2ca2391ddfb12eaf70c3eec32af4fb
com.acxiom	metalus-core_2.11-spark_2.4	1.8.0		d7b6b83561d4e7c40b563c6ff8a3d3c14ca77e6b
com.acxiom	metalus-core_2.11-spark_2.4	1.8.1		a62e402628a3d62bfd27ae299a3808c647387ea5
com.acxiom	metalus-core_2.11-spark_2.4	1.8.2		06054828a58fa7bb5b1f252ee7f1dd65dc6a8557
com.acxiom	metalus-core_2.11-spark_2.4	1.8.3		c96390bd0e41b8e0f221bec00d8f8966a893fffa
com.acxiom	metalus-core_2.11-spark_2.4	1.8.4		aa0c34bb423e2de8c486c4722ad2bc8457394535
com.acxiom	metalus-core_2.11-spark_2.4	1.8.5		f2a7bb4af4e98ce1b432aeeedeeeacd527775223
com.acxiom	metalus-core_2.11-spark_2.4	1.8.6		da4079d99579052bce55a892500eae74bfd79ee4
com.acxiom	metalus-core_2.11-spark_2.4	1.8.7		4f09774ac3233856975d280d18f75001f7e8ccf1
com.acxiom	metalus-core_2.11-spark_2.4	1.9.0		4977fa3241c1a63b99fac8c86b35e20565d514f5
com.acxiom	metalus-core_2.11-spark_2.4	1.9.1		2a28c4ef424801c31c9ac84820aed2d677880116
com.acxiom	metalus-core_2.11-spark_2.4	1.9.2		834f06268038ab88fc8fb12675f6fa2399bba467
com.acxiom	metalus-core_2.11-spark_2.4	1.9.3		5a593156c6926f8178c027f871a2daa14273a90a
com.acxiom	metalus-core_2.11-spark_2.4	1.9.4		8416e011a79dadc7e594fdc01f36fcfe769a0fb4
com.acxiom	metalus-core_2.11-spark_2.4	1.9.5		79f09e5b8e13cdfc0a50190c8ca3273555a3cbb8
com.cognitect.aws	kinesis-video-signaling	781.2.585.0		3e49e404a59e4a4dd08f8998de03540fb00c2597
com.cognitect.aws	kinesis-video-signaling	821.2.1107.0		9dd1b448e0e7d4462218fd295550ad71825f2635
com.cognitect.aws	kinesis-video-signaling	847.2.1365.0		6418e4df58a2c85c80fa48e1f6b35af1335dbf4e
com.cognitect.aws	kinesis-video-signaling	871.2.29.35		b284c1c8669b94369e392ecd7f0d6b0c9260baf2
com.github.bancolombia	bin-stash-hybrid	1.0.2		f3e3d343064bdb25c4e9960a4fd033a9a1c557f5
com.github.bancolombia	bin-stash-hybrid	1.0.3		84f8d8e2005c2a256a31c88105fd8472d1cfbf88
com.github.bancolombia	bin-stash-hybrid	1.0.5		1c3561f6bc7b8a7130fcdc6d90cbe0ce0be94d5e
com.github.bancolombia	bin-stash-hybrid	1.0.5.PREVIEW		27797593b7611d7492854582260a00b2e37bbf94
com.github.bancolombia	bin-stash-hybrid	1.1.0		c1fb5790e193db5931af6b91a6033ec888c8ab45
com.github.bancolombia	bin-stash-hybrid	1.2.0		f3f440c3c9337ac0ead1a5549e92b247312b2f23
