at.released.cassettes	cassettes-playhead-js	0.1-alpha01		N/A
avalon-extension	avalon-extension-impl	1.0		800db99e5aaeca11cb6d8279827de6dc713b6070
avalon-extension	avalon-extension-impl	1.0-RC1		acd483b727fd6cf10ded1a76b730571be83a0d09
avalon-extension	avalon-extension-impl	1.1		eae91c7337f1d8b1a6ef9042252941aaa2780afa
biz.cgta	root_2.11	0.2.1		3b354457b09c5ab57ea5150752d634fa9bc87a7d
biz.cgta	root_2.11	0.2.2		edc7070b3f058a7546bdacc0904b97601b7f519c
camp.xit.jacod	jacod-providers	1.3.10		N/A
camp.xit.jacod	jacod-providers	1.3.11		N/A
camp.xit.jacod	jacod-providers	1.3.12		N/A
camp.xit.jacod	jacod-providers	1.3.13		N/A
camp.xit.jacod	jacod-providers	1.3.5		N/A
camp.xit.jacod	jacod-providers	1.3.6		N/A
camp.xit.jacod	jacod-providers	1.3.7		N/A
camp.xit.jacod	jacod-providers	1.3.8		N/A
camp.xit.jacod	jacod-providers	1.3.9		N/A
cloud.prefab	logback-listener	0.3.1		21b0c68a1dabebcd9bb2e83554f66f7986b48b9e
cloud.prefab	logback-listener	0.3.10		fa567c331cfb7e677dd7e3cf096b3fe00073dc03
cloud.prefab	logback-listener	0.3.11		9a74b34a1cb53223a952988279d65d93cceefb3f
cloud.prefab	logback-listener	0.3.12		3b16a00ea3c127c5c277f4dbd2d1aac067908742
cloud.prefab	logback-listener	0.3.13		0ebecd50bc0ded5a602f6e1df40c968bc5ed7e9c
cloud.prefab	logback-listener	0.3.13-pre1		78c06b6c1b2850de060d62f8c220de495d0c33c3
cloud.prefab	logback-listener	0.3.13-pre2		951c066a557583ade2f6c90a42bf71f059340746
cloud.prefab	logback-listener	0.3.13-pre3		6c1e3fcfa9b1ee13dfc689fa7150d67ec893ab8e
cloud.prefab	logback-listener	0.3.14		5bb39316ee284a9a409f9a198fad7e0d0316f769
cloud.prefab	logback-listener	0.3.15		0af80eb8a91a51d79e8fc7f3f597d385ee8f9a95
cloud.prefab	logback-listener	0.3.16		294dc4a3056f32bb5aca4f0f53a9056361828ecd
cloud.prefab	logback-listener	0.3.17		8ff5b96cdbc269296cfc5070dbfb416ecb44491c
cloud.prefab	logback-listener	0.3.17-pre1		affe8570ab21b059c24d2d1ec2e20565ae8872ca
cloud.prefab	logback-listener	0.3.17-pre2		842bda03e12557de1608398c33870ec4294b084e
