cn.wekture	fastapi-sms	0.0.1	-	70b329b10d8696f54d9cf5ca1b713ff4b028555e
com.appmattus.mpu	ignore-ios	0.3.2	-	20fdd932b65d3f0bbbac904b442100709a03b529
com.carrotgarden.maven.wagons	maven-s3-wagon	1.2.2-rev001	-	aaf7710cbd0b16885c723d4ec887e53d3faa221b
com.codecommit	cats-effect-testing-scalatest-scalacheck_3.0.0-RC3	0.5.3	-	cd79e40deced2394b62d5df05233ca9bd668d7ca
com.dimajix.flowman	flowman-plugin-swagger	0.19.0	-	f9bafaf9895bf0212c3e53e32f27881de2debed9
com.dimajix.flowman	flowman-plugin-swagger	0.19.0-cdh6-spark2.4-hadoop3.0	-	56a9c48f25a422a6fdaa1a79dec4741453d8d82c
com.dimajix.flowman	flowman-plugin-swagger	0.19.0-cdp7-spark2.4-hadoop3.1	-	87982666506cad58c3c73b7a09b3beb63b626d18
com.dimajix.flowman	flowman-plugin-swagger	0.19.0-oss-spark2.4-hadoop2.6	-	b61282cc314b9ab4be9843302fb019d9a73504fb
com.dimajix.flowman	flowman-plugin-swagger	0.19.0-oss-spark2.4-hadoop2.7	-	31883d9d68ff6ab139fb2b995251b99e67b72dbe
com.dimajix.flowman	flowman-plugin-swagger	0.19.0-oss-spark3.0-hadoop2.7	-	01928a23c46590598dd1ccf47fb6af74bc260826
com.dimajix.flowman	flowman-plugin-swagger	0.19.0-oss-spark3.0-hadoop3.2	-	9f1e374506b6e3fd14b3a08e5fe73644593775fd
com.dimajix.flowman	flowman-plugin-swagger	0.19.0-oss-spark3.1-hadoop2.7	-	55b24826100476a0074e1b27974608f2586ec811
com.dimajix.flowman	flowman-plugin-swagger	0.19.0-oss-spark3.1-hadoop3.2	-	b36933c3b5325c20024511d6f93e4e1e6fee6fca
com.dimajix.flowman	flowman-plugin-swagger	0.19.0-oss-spark3.2-hadoop2.7	-	d833f7b62c24c622cd840b3e33d3c34431ea3045
com.dimajix.flowman	flowman-plugin-swagger	0.19.0-oss-spark3.2-hadoop3.3	-	547335f51e4e737268873a65b3690d8a925143e6
com.dimajix.flowman	flowman-plugin-swagger	0.20.0	-	790a23be9b5dd702678a6e00917839f0c61848db
com.dimajix.flowman	flowman-plugin-swagger	0.20.0-cdh6-spark2.4-hadoop3.0	-	b9d403a01307b80d15f56125a879efedeab19460
com.dimajix.flowman	flowman-plugin-swagger	0.20.0-cdp7-spark2.4-hadoop3.1	-	2dbfe7a684fbe59d34951921a44feef1c072e322
com.dimajix.flowman	flowman-plugin-swagger	0.20.0-oss-spark2.4-hadoop2.6	-	ca7a4f236bcf75feb2126af8f2cf3861c4875e1c
com.dimajix.flowman	flowman-plugin-swagger	0.20.0-oss-spark2.4-hadoop2.7	-	74c2394d641afabd8b5843430cbfccc1fb3cc24c
com.dimajix.flowman	flowman-plugin-swagger	0.20.0-oss-spark3.0-hadoop2.7	-	746d98f694ea8db834b221d3828881f093241867
com.dimajix.flowman	flowman-plugin-swagger	0.20.0-oss-spark3.0-hadoop3.2	-	cbea8e76d7838462d46622596d160794065f4b1c
com.dimajix.flowman	flowman-plugin-swagger	0.20.0-oss-spark3.1-hadoop2.7	-	4571903917a2d64a5f82c4ef8a61d47c993e1355
com.dimajix.flowman	flowman-plugin-swagger	0.20.0-oss-spark3.1-hadoop3.2	-	2c52b5f5db7f67af1832d7531fd7399b7d04e68a
com.dimajix.flowman	flowman-plugin-swagger	0.20.0-oss-spark3.2-hadoop2.7	-	7b56ffb6daa35668c0cae1aed9f57c5e886d7e4c
com.dimajix.flowman	flowman-plugin-swagger	0.20.0-oss-spark3.2-hadoop3.3	-	ba76c35d1e7e02b5445ef3574ff7d02dab6b6199
com.dimajix.flowman	flowman-plugin-swagger	0.20.1	-	a95235342d7c5364c4a296f5ce7989fa45b7d4ce
com.dimajix.flowman	flowman-plugin-swagger	0.20.1-cdh6-spark2.4-hadoop3.0	-	3b832ed727c66d7574985f794d13f5bfdb07bca1
com.dimajix.flowman	flowman-plugin-swagger	0.20.1-cdp7-spark2.4-hadoop3.1	-	eaf02a5217bd5b90ac4eb4d9059e0189e9bc5fc5
com.dimajix.flowman	flowman-plugin-swagger	0.20.1-oss-spark2.4-hadoop2.6	-	c704bb7be23004605e61418106b5f2893670cc96
com.dimajix.flowman	flowman-plugin-swagger	0.20.1-oss-spark2.4-hadoop2.7	-	726ea3a1a50d10070342f824673e4bd4bc47048e
com.dimajix.flowman	flowman-plugin-swagger	0.20.1-oss-spark3.0-hadoop2.7	-	7bc8f5e4289650ff0988e510c241cb888ab2f04d
com.dimajix.flowman	flowman-plugin-swagger	0.20.1-oss-spark3.0-hadoop3.2	-	4294c550ce856c599ea3e6bc9c119e23b5a931cd
com.dimajix.flowman	flowman-plugin-swagger	0.20.1-oss-spark3.1-hadoop2.7	-	31155b38d8938255e9d417b8834b623e54855063
com.dimajix.flowman	flowman-plugin-swagger	0.20.1-oss-spark3.1-hadoop3.2	-	3227948bebcbece6454f8c5371da702620603cf4
com.dimajix.flowman	flowman-plugin-swagger	0.20.1-oss-spark3.2-hadoop2.7	-	fb67723cf015fd7a444cf1f3d2b1abcd09d59a8e
com.dimajix.flowman	flowman-plugin-swagger	0.20.1-oss-spark3.2-hadoop3.3	-	00631d61079e27d6da8e9b5207aad83d77e12bc3
com.dimajix.flowman	flowman-plugin-swagger	0.21.0	-	b09620fa34a18da76f8e0b6d12d44c4f4a54339b
com.dimajix.flowman	flowman-plugin-swagger	0.21.0-cdh6-spark2.4-hadoop3.0	-	927e46659d2a298437518d10c3f1c3316ca95c6f
com.dimajix.flowman	flowman-plugin-swagger	0.21.0-cdp7-spark2.4-hadoop3.1	-	3c2dcf0abbd81609d4b46ae21bbaa227c890b69c
com.dimajix.flowman	flowman-plugin-swagger	0.21.0-oss-spark2.4-hadoop2.6	-	573f6f380d32b0afb196b0ea4263d39f4bbbd845
com.dimajix.flowman	flowman-plugin-swagger	0.21.0-oss-spark2.4-hadoop2.7	-	7f36b6efaf52e9ef2a07ddfcc56a44d915fdd103
com.dimajix.flowman	flowman-plugin-swagger	0.21.0-oss-spark3.0-hadoop2.7	-	719c73c9b21e779db94c60c75aa47e5f6f818405
com.dimajix.flowman	flowman-plugin-swagger	0.21.0-oss-spark3.0-hadoop3.2	-	2407afb0847a3af086050426e2157878e6096a63
com.dimajix.flowman	flowman-plugin-swagger	0.21.0-oss-spark3.1-hadoop2.7	-	4fb3d770efe3e854afbee16f9a534359fe753ad2
com.dimajix.flowman	flowman-plugin-swagger	0.21.0-oss-spark3.1-hadoop3.2	-	e5f78c824dde185342343a43d555ed4149d0bc9e
com.dimajix.flowman	flowman-plugin-swagger	0.21.0-oss-spark3.2-hadoop2.7	-	b4413587837018376938b417d22a282e5e678b76
com.dimajix.flowman	flowman-plugin-swagger	0.21.0-oss-spark3.2-hadoop3.3	-	8e9b26c489f66e1ae6b1989b0d00ee7524a517df
com.dimajix.flowman	flowman-plugin-swagger	0.22.0	-	f7e02226f655c0cbf5758daa6f66a30b655f08ce
com.dimajix.flowman	flowman-plugin-swagger	0.22.0-cdh6-spark2.4-hadoop3.0	-	e0c545a8edff2f1d03bbc657dd561b3153731d69
com.dimajix.flowman	flowman-plugin-swagger	0.22.0-cdp7-spark2.4-hadoop3.1	-	6c828b1e5abb921f8785d54349024592a26df2e2
com.dimajix.flowman	flowman-plugin-swagger	0.22.0-oss-spark2.4-hadoop2.6	-	8e88bb9bd68926aa0f795003cc3dad967f1a8433
com.dimajix.flowman	flowman-plugin-swagger	0.22.0-oss-spark2.4-hadoop2.7	-	efbfc09e9b88efc22bfe21cf06fa7b36eeb8aa27
com.dimajix.flowman	flowman-plugin-swagger	0.22.0-oss-spark3.0-hadoop2.7	-	9dd40f3f99a15b6bee99b4f89a2484c5bdef7329
com.dimajix.flowman	flowman-plugin-swagger	0.22.0-oss-spark3.0-hadoop3.2	-	2ecc92efc9b3ca6b1e91537a99400165cb16d102
com.dimajix.flowman	flowman-plugin-swagger	0.22.0-oss-spark3.1-hadoop2.7	-	82109847afabb4e2403fcbd3157e7dfcb98a2d4a
com.dimajix.flowman	flowman-plugin-swagger	0.22.0-oss-spark3.1-hadoop3.2	-	4a91e251fd9386a664e262a7848c3d8f9523863c
com.dimajix.flowman	flowman-plugin-swagger	0.22.0-oss-spark3.2-hadoop2.7	-	18e657e63921f726bb38123f872bd58b61f8d0d6
com.dimajix.flowman	flowman-plugin-swagger	0.22.0-oss-spark3.2-hadoop3.3	-	9241189a321fd3512f1370773e58c73c1be7367d
com.dimajix.flowman	flowman-plugin-swagger	0.23.0	-	29b43175c95ce4849b7072159455991c76b52ce7
com.dimajix.flowman	flowman-plugin-swagger	0.23.0-cdh6-spark2.4-hadoop3.0	-	3c395652c71642dc2945e4bcad9405ecc48a933c
com.dimajix.flowman	flowman-plugin-swagger	0.23.0-cdp7-spark2.4-hadoop3.1	-	603985aaa3780936d1f1ee9f0526cc5e657c643a
com.dimajix.flowman	flowman-plugin-swagger	0.23.0-oss-spark2.4-hadoop2.6	-	cb90a51e879e3e3dbb0e8cd91f07cac1ab990fdf
com.dimajix.flowman	flowman-plugin-swagger	0.23.0-oss-spark2.4-hadoop2.7	-	6e6c1565a29df9a16dc7ebcd25df3ca69bc39662
com.dimajix.flowman	flowman-plugin-swagger	0.23.0-oss-spark3.0-hadoop2.7	-	51f0d739ec900419d7110437d63b1aa7b6a80848
com.dimajix.flowman	flowman-plugin-swagger	0.23.0-oss-spark3.0-hadoop3.2	-	df324ed41e87ba8cfa25cd7df0f210d58a2b00a8
com.dimajix.flowman	flowman-plugin-swagger	0.23.0-oss-spark3.1-hadoop2.7	-	6439054209afbf46c0b0eeae1a65de07051633c6
