ant-doxygen	ant-doxygen	1.2		8c91953fb946245a7ab741353c26687c402319df
br.com.objectos.way	flat	0.4.0		59c950bbd25c1e71e60b72b9c4703599e4030076
br.com.objectos.way	flat	0.4.1		845531bbbbddeab18f22a3dd90bd452bb026e7ca
cn.wlcloudy	auth-shiro-core	1.0.0		17fecdd42111f54e31735ddde55fcf24bb75c424
cn.xbatis	xbatis-spring-boot-starter	1.8.1		2cfb5b0a868c0aac3ab90b8bf1e44cd65078aa17
cn.xbatis	xbatis-spring-boot-starter	1.8.1-spring-boot3		75474f9dfa5b148e6b24d8a9d688430aa94fb00e
cn.xbatis	xbatis-spring-boot-starter	1.8.2		20628321ef465e275b47cd338ec934de7ca73546
cn.xbatis	xbatis-spring-boot-starter	1.8.2-spring-boot3		6674552f2a18329ed6eb33887388235eb88eba2b
cn.xbatis	xbatis-spring-boot-starter	1.8.3		609b565ab3dba2c0a5fa2cdb78e02643840b122b
cn.xbatis	xbatis-spring-boot-starter	1.8.3-M1		acd68653385c3cc27f679233c867e73de605d21d
cn.xbatis	xbatis-spring-boot-starter	1.8.3-M1-spring-boot3		f1e42a94e3454d1fa0ef4641e9710d3458d272e1
cn.xbatis	xbatis-spring-boot-starter	1.8.3-M2		d20ac65ae3e7f3e42047ea76b7e6897f89669d01
cn.xbatis	xbatis-spring-boot-starter	1.8.3-M2-spring-boot3		048cc8d615d2a4174f88bd398471c596c5f60dca
cn.xbatis	xbatis-spring-boot-starter	1.8.3-M3		d9118321a2297700cd3e6e106dc2528b72dfdf3e
cn.xbatis	xbatis-spring-boot-starter	1.8.3-M3-spring-boot3		9c7591631101998cfd90a9d2031e29cf305d2d36
cn.xbatis	xbatis-spring-boot-starter	1.8.3-spring-boot3		b278fb183ac2d20c7c38683be02c012f58deb170
cn.xbatis	xbatis-spring-boot-starter	1.8.5		b85d039172236bf58553ceb86bf33c8333e41694
cn.xbatis	xbatis-spring-boot-starter	1.8.5-M1		7d0810f7e485fde156f25615a0be68acedb3bd9f
cn.xbatis	xbatis-spring-boot-starter	1.8.5-M1-spring-boot3		a39c7e7787f4fe3a0734019a343747d330634424
cn.xbatis	xbatis-spring-boot-starter	1.8.5-M2		71db07accacbf78ed7dde12c62dc930fa1e98451
cn.xbatis	xbatis-spring-boot-starter	1.8.5-M2-spring-boot3		4725b0b910f4ae433ec7401f5b15bbba8fb16b0f
cn.xbatis	xbatis-spring-boot-starter	1.8.5-M3		37497942c019cd463bafc1359477a72e16b093e1
cn.xbatis	xbatis-spring-boot-starter	1.8.5-M3-spring-boot3		6394840989909c7f83e8df688636b3bb766b8c66
cn.xbatis	xbatis-spring-boot-starter	1.8.5-M5		74d271a9164d988a67c6ac287fa54a101260ee8a
