br.com.objectos	logging	0.1.0		955589045e0612405c2dde31b618dd88600bbc3d
ca.carleton.gcrc	nunaliit2-dbSec	0.0.2		710d716ee7bec16f616329760452c5bed4d8b4c7
ca.carleton.gcrc	nunaliit2-dbSec	0.0.3		9f8e9d2abe013bea77028c42d572ccd2918753f6
ca.carleton.gcrc	nunaliit2-dbSec	0.0.4		b369fd45f59a3eac80eb6f28f5e95e5e121128c0
ca.carleton.gcrc	nunaliit2-dbSec	0.0.5		12684ed893502437b54d0d04fd1daf88ef3335ed
ca.carleton.gcrc	nunaliit2-dbSec	0.0.6		805c0787f984934e36853b3418e9ef37f976e139
ca.carleton.gcrc	nunaliit2-dbSec	0.1.0		abc343330c96f76cf5c552cf0239a54dbe9b6350
ca.carleton.gcrc	nunaliit2-dbSec	0.1.1		d07ee23d9d2027dcec36e8663c8b9931156f8087
ca.carleton.gcrc	nunaliit2-dbSec	0.1.2		b5419e37ec5b6500c575ecb04a59f127640af6a6
ca.carleton.gcrc	nunaliit2-dbSec	0.1.3		89d707e09f312ad7d0bc422031ba371504d965b2
ca.carleton.gcrc	nunaliit2-dbSec	0.1.4		339e3028b42b9b337cda5459403801646a55e5f0
ca.carleton.gcrc	nunaliit2-dbSec	0.1.5		84d5fc1604796e2bc315345bd1ecbf2f71a64e3d
ca.carleton.gcrc	nunaliit2-dbSec	0.1.6		390c27e4200ec52010427ddbbb0366717ab0e397
ca.carleton.gcrc	nunaliit2-dbSec	0.1.7		6651c2dfd243fd85a4821535a86070756a1699dd
ca.carleton.gcrc	nunaliit2-dbSec	0.1.8		0b8da11ab19b93a290f29bd0292f7bfa443d5a32
ca.carleton.gcrc	nunaliit2-dbSec	0.1.8.1		70069fb3fa177809e16a03add4d89fdde22df867
ca.carleton.gcrc	nunaliit2-dbSec	0.1.9		a8b52b0ab4b5ebebd8406070edddcfac8bcdb1e3
ca.carleton.gcrc	nunaliit2-dbSec	0.2.0		5698599bec1ca191af21e9b5f2de5c1f954803fd
ca.carleton.gcrc	nunaliit2-dbSec	0.2.1		541ee7a75cb1cebfab7471e9337373cc0d9dad7b
ca.carleton.gcrc	nunaliit2-dbSec	2.0.0		be86808d448fa3236178e999a61755e4b45c4c6b
ca.carleton.gcrc	nunaliit2-dbSec	2.0.1		8761d47661e5dc05b2c775623cd68543ae7b357f
