biz.cgta	otest_2.12.0-RC1	0.2.5		3ec16c4aad12ab3b1aa83765304f3e2e362576d5
br.com.coopersystem	commons-ipea	0.1.0		5883486b43760d46bc6c34d1e2cfc6307672c954
br.com.coopersystem	commons-ipea	0.1.1		5be22c6df94389f2226038513887a5cee8375b9f
br.com.coopersystem	commons-ipea	0.1.2		4454b9d0bd2d419833c31604963d59688a8f3f65
br.gov.frameworkdemoiselle.component	demoiselle-report	2.0.5		683390d2433112a475728ecc1167e0027b7a8d27
br.gov.frameworkdemoiselle.component	demoiselle-report	2.1.0		88835aefafa25d1bbb97984fd520ca439f46a2ae
br.gov.frameworkdemoiselle.component	demoiselle-report	2.2.0		9af76ca9a9ca42142d8e7cea9b246f14b2e3bda6
cn.chahuyun	HuYanAuthorize	1.0.0		8307aefaa2a32f42081fc22dad04b339b3e0605c
cn.chahuyun	HuYanAuthorize	1.0.1		54615a679890e2e93d07c0a840d6efb25ea8a52f
cn.chahuyun	HuYanAuthorize	1.0.2		1d9b63905e5151976decf721b904d2c9a7b26ac1
cn.chahuyun	HuYanAuthorize	1.0.3		e39ae5fd3d7adcaa3105533b429924d2f145f09a
cn.chahuyun	HuYanAuthorize	1.0.4		448c2bd89c102abf8f4077e802f1a1d29755483b
cn.chahuyun	HuYanAuthorize	1.0.5		630da617ec76d01c8a1193e7c27cdda706bc459b
cn.chahuyun	HuYanAuthorize	1.0.6		b05083724fb1949b4600b0491dc15f374c56dd74
cn.chahuyun	HuYanAuthorize	1.0.7		f82494db5ef4177b441fa5ef697782b00d270594
cn.chahuyun	HuYanAuthorize	1.0.8		3313a70653e384d5da7a9e89395a702341b147f5
cn.chahuyun	HuYanAuthorize	1.1.0		98c3f7145d693bc1556976a0bf359ede4d127caf
cn.chahuyun	HuYanAuthorize	1.1.1		dd4ebfd4caa930169dd2a70a026d63c0bb28b1a8
cn.chahuyun	HuYanAuthorize	1.1.2		bd6a4eb707fdf162dcf299dd24866b14ea24440a
cn.chahuyun	HuYanAuthorize	1.1.3		9b888559591b4c5939f4284b2125a7f43141b849
cn.chahuyun	HuYanAuthorize	1.1.4		1d65475b9782e55b9a9ef11b3e6d49b2c325382e
cn.chahuyun	HuYanAuthorize	1.1.5		a900b176dc71a08fbe2208a661fc1b8dc7d1ee90
cn.chahuyun	HuYanAuthorize	1.1.6		59501379eb0c4122a1558f5958304277626c1a30
cn.chahuyun	HuYanAuthorize	1.2.0		6170d76f1afbd8aa02a677a07b79c2f5d7932ea6
cn.toutatis	void-parent-web-support	0.0.0-ALPHA		N/A
cn.toutatis	void-parent-web-support	0.0.1-ALPHA		N/A
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.0.0		5719da73cf758ea3c8f83e920c609de19e9f1409
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.0.0	library	5719da73cf758ea3c8f83e920c609de19e9f1409
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.0.1		d7f20824fbab055a8aa3907248aa011e04bf0e2c
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.0.1	library	5bd8cdc9c9918348f766e8229dda933698e40492
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.1.0		4a7059b99d3c004c58dd17b2f37e173c6dd3b89b
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.1.0	library	4a7059b99d3c004c58dd17b2f37e173c6dd3b89b
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.2.0		c05252dc632f74b6deca13a8d1721e8f4572a71d
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.2.0	library	c05252dc632f74b6deca13a8d1721e8f4572a71d
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.2.1		e9f6dd0af8181df583f31a2047364f7da78b1a1b
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.2.1	library	e9f6dd0af8181df583f31a2047364f7da78b1a1b
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.2.2		51691d2413f04eef3c2c12965a5c6cc5121a5d6d
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.2.2	library	51691d2413f04eef3c2c12965a5c6cc5121a5d6d
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.2.3		aac5d2bec7cb60d00b4d0e23f9437545ddc66d00
com.badlogicgames.gdx-controllers	gdx-controllers-gwt	2.2.3	library	8e342a42c68d94b1ad0129eb47dd81cbcb7e6fea
com.bellotapps.archetypes	four-layers-webapp-archetype	1.0.0-RELEASE		b212fd7e988fa3cbeef6695c9097acc05aaeb475
com.bellotapps.archetypes	four-layers-webapp-archetype	1.0.1-RELEASE		685bf0655c46a59039f9d49a40f7c316c6aa72e5
com.browserstack	jbehave-archetype-setup	1.0		fd60f159a70ad8b35629d8cf309832dab6b964da
com.browserstack	jbehave-archetype-setup	1.1		f70849ade828538882517a190f8be5c53458a8e6
com.browserstack	jbehave-archetype-setup	1.2		e7e0bf1f92cc7ef1230fcf22e0ab0687e1946ebf
com.browserstack	jbehave-archetype-setup	1.3		224146a92478464de31effe0d31042a452c70218
com.clever-cloud.pulsar4s	pulsar4s-json4s_2.12	2.10.0		7d36ef11d85c93f0733036c3e5fe264534d6d1d5
