africa.shuwari	version-codecs-zio_native0.5_3	0.5.0		28ff447d7033eb6fd6c05f69512a9488481e213f
cn.jeeweb	jeeweb-common-sms	1.0.3.RELEASE		1e3988f4756df2cab36b5bdbd58fe7e363fd594d
cn.jeeweb	jeeweb-common-sms	1.0.4.RELEASE		0797d67c9f391b6086c79cef8c1453c1ec843191
com.aldaviva.easter4j	easter4j-core	1.0.0		1319f017897163a91604d3178899e2d2bfeedde4
com.anton-johansson	build-markdown-generator-maven-plugin	1.0.0		297e47e1a0f2e2430c07c38e403529a96f8cb142
com.apifortress	apif-faker	1.0.0		6aa02c06d7c006a8eacad8c9d6875715de75524a
com.apifortress	apif-faker	1.0.7		b8c8879664685480eb819709a26503e703e841f9
com.beachape	enumeratum-argonaut_2.10	1.4.15		659d4227b1ac2a1cac74b18ce4a5bdcd94875758
com.beachape	enumeratum-argonaut_2.10	1.4.16		72fd40161990a8e20573cb0cea73640f8dfbee0f
com.beachape	enumeratum-argonaut_2.10	1.4.17		55a10c02e04a809460642f3fd8695f306a5aa551
com.beachape	enumeratum-argonaut_2.10	1.4.18		e77bc9e4df71368dfbd4e0545e1a2002a2a0a2c4
com.beachape	enumeratum-argonaut_2.10	1.5.0		3c7cbb6c2fd377646a08ac0c425b11e63c295a0f
com.beachape	enumeratum-argonaut_2.10	1.5.1		721d28b19cf11f0685b58b3ddb035346d414e12b
com.beachape	enumeratum-argonaut_2.10	1.5.10		8dd27a74231945006f4414d889f286455058ea67
com.beachape	enumeratum-argonaut_2.10	1.5.11		6272c3e02bbdf5a9d42bc527176f5ff35f80447a
com.beachape	enumeratum-argonaut_2.10	1.5.12		eb87097204e73dba7db7b1921c078557aa789a13
com.beachape	enumeratum-argonaut_2.10	1.5.13		dbffbef4014fce1a20c2f1bef801ca5c53100e87
com.beachape	enumeratum-argonaut_2.10	1.5.2		3faa41b0359b99963966cdfe679a340c07580729
com.beachape	enumeratum-argonaut_2.10	1.5.3		4d66c17e00553f681c076fcb96b31e8938bc8f8c
com.beachape	enumeratum-argonaut_2.10	1.5.4		2ea3f6c76378522c20772830b6e5ef50020110df
com.beachape	enumeratum-argonaut_2.10	1.5.5		ff696b1beca9067a46c7fa9f771cf1cd06d2d9be
com.beachape	enumeratum-argonaut_2.10	1.5.6		7afd373e39e8c37ad0a700ea206ebe4d6c81f54c
com.beachape	enumeratum-argonaut_2.10	1.5.7		f060d3317f6e971a5cb32f9920960527b7718230
com.beachape	enumeratum-argonaut_2.10	1.5.8		32b627a70303f0fb33899b14bbfcc6371e07a014
com.beachape	enumeratum-argonaut_2.10	1.5.9		920d765e7816f04df91820f2909d104055b26b15
com.busymachines	pureharm-aws-sns_3	0.4.0-M1		ea792e157057071a8ed4f5a0be126a39666d6039
com.codeminders.socketio	socketio-sample	1.0.10		N/A
com.codeminders.socketio	socketio-sample	1.0.3		N/A
com.codeminders.socketio	socketio-sample	1.0.4		N/A
com.codeminders.socketio	socketio-sample	1.0.5		N/A
com.codeminders.socketio	socketio-sample	1.0.6		N/A
com.codeminders.socketio	socketio-sample	1.0.7		N/A
com.codeminders.socketio	socketio-sample	1.0.8		N/A
com.codeminders.socketio	socketio-sample	1.0.9		N/A
com.daftmobile.redukt	redukt-data-ktor-tvossimulatorarm64	1.0		N/A
com.daftmobile.redukt	redukt-data-ktor-tvossimulatorarm64	1.0	metadata	28fe8adfd6c5c0e2cf3b9bc97cf06c87112cd5b0
com.dorkbox	JnaUtilities	1.0		e1d1b91acd7c673b6f841bc34d34e15af2adeb3c
com.dorkbox	JnaUtilities	1.1		6d9cb969027b511b5eb3a408e134f75281def534
com.factset.sdk	irnnotes	0.20.0		fc70adfb5b35465d9e53ece42060d7337da95dc1
com.factset.sdk	irnnotes	0.21.0		ac7991c5400d694012cf5af71c39ddd31a96181a
com.factset.sdk	irnnotes	0.9.0		005c6ec0bc95258c0b00fdb0ee7cf62cc1886f6b
com.factset.sdk	irnnotes	0.9.1		5462f1ca6324e14f971abf89e7c730787f18f0b3
com.factset.sdk	irnnotes	1.0.0		3cbaea16d7984e6f7e8ee11a5d20602bf76da961
com.factset.sdk	irnnotes	1.0.1		f5386e4b295c8f4a3e726404c6c0c02f781ea1e7
com.factset.sdk	irnnotes	1.0.2		9d594571563ca3c8fcc1b047ca518dff1cba6d7c
com.factset.sdk	irnnotes	1.0.3		1ac127c14246fe6ae35759e4c95223f7bca56730
com.factset.sdk	irnnotes	1.0.4		687107324946ef8c4fec17b208a2708399926d39
com.factset.sdk	irnnotes	1.0.5		e2e1c00a835e937f69418ef070990212e5aa9fc5
com.factset.sdk	irnnotes	1.0.6		4bd8dac08a161578070b4e9c963a9d60fb62d9bd
com.factset.sdk	irnnotes	1.0.7		c88408753218fb70c8c11a3ab1c6dc061e6d5c13
com.factset.sdk	irnnotes	1.0.8		944441b3be463d822968b87eee7b4d77298cc2b3
com.factset.sdk	irnnotes	2.0.0		ec8382cde8f003dce980f69b74bd2cbda6c42b2c
com.factset.sdk	irnnotes	2.0.1		33fccb1df6edfb39e133e2e49dc224a712217066
com.factset.sdk	irnnotes	2.0.2		76764ad7347ad13e36234544d74cf897c2b87c8b
com.factset.sdk	irnnotes	2.0.3		7a11043b5d850136114a805e4a9b02fc77202053
com.factset.sdk	irnnotes	3.0.0		b4f149084a454fe6bc2ecdd194ea484dff780fca
com.factset.sdk	irnnotes	3.1.0		61529eeeaebac7ce4f12cb17315bd6b50a87f669
com.factset.sdk	irnnotes	4.0.0		8db1718c9efeba191749df0682a05ca91c7174f9
com.factset.sdk	irnnotes	4.0.1		cda3b6664c8b8d754d911e109289873a52a1955a
com.factset.sdk	irnnotes	4.0.2		6ff3514950a8be5460e6a9dbde02a1ada40cfcc1
com.fommil	sbt-neojmh_2.10_0.13	1.0.0		54e84ee45928e0e7371d1174bfc356ed099af75c
com.fommil	sbt-neojmh_2.10_0.13	1.0.1		010149578d0cccdbb811ba2fa16dc6210aa570b8
com.fommil	sbt-neojmh_2.10_0.13	1.0.2		6b766e61301d2acc49510d76080f8f5d1dd114af
com.fommil	sbt-neojmh_2.10_0.13	1.0.3		51b0ae239b16d3d2b52a07abac78567004076f8d
com.fommil	sbt-neojmh_2.10_0.13	1.1.0		a67e14a859fe1bb5e79dc7ca100b883c67d90851
com.fommil	sbt-neojmh_2.10_0.13	1.1.1		3e78f8d4979fc88b612fd277313d9bdf517a3672
com.gitee.ice_king	iceframework	1.0.6		N/A
com.gitee.ice_king	iceframework	1.0.7		N/A
com.gitee.ice_king	iceframework	1.0.8		N/A
com.gitee.l0km	simplemq-amqp	2.2.10		587cd615b974e632ee317cf386284dd2533aabf4
com.gitee.l0km	simplemq-amqp	2.2.11		ed3e9f5985c8c7f8dd585a5e5e2b56f2cf2b8f98
com.gitee.l0km	simplemq-amqp	2.2.12		513fbe3f0f9af83aa21722b9ebc83b4235620668
com.gitee.l0km	simplemq-amqp	2.2.2		060d42b1703e4b47c6c0b14383d5f1e957cf949b
com.gitee.l0km	simplemq-amqp	2.2.3		07f7e390eccdcf1da2112bb87550871a75da525c
com.gitee.l0km	simplemq-amqp	2.2.4		383f487f936721efddb0b3cefe526e249d223123
com.gitee.l0km	simplemq-amqp	2.2.5		7123e8d147c923321d2900fcfa3ce6d6619f527a
com.gitee.l0km	simplemq-amqp	2.2.6		5e92b9641858038ce22076f92a6456782553d6b0
com.gitee.l0km	simplemq-amqp	2.2.7		6a44f7c3f4e6cd8f77d3332af0ca109749e830c5
com.gitee.l0km	simplemq-amqp	2.2.8		3ff2b67bf436532796ef9f408c7b8f97abac5e42
com.gitee.l0km	simplemq-amqp	2.2.9		8331bbb637a08308b9cf9d81f086b5ccbfefe318
com.gitee.l0km	simplemq-amqp	2.3.0		2e811c31f2f32d6680b5772625ee8dad79b372d4
com.gitee.l0km	simplemq-amqp	2.3.1		c65e91f74714cda698f7ebb3a3164e8b7b374436
com.gitee.l0km	simplemq-amqp	2.3.10		9527e2bf17f64ccf6e27b8dc946ec4718fffb86c
com.gitee.l0km	simplemq-amqp	2.3.11		3f198fdf2ef70a6f88f9227231ce3846ecbce9c8
com.gitee.l0km	simplemq-amqp	2.3.12		0e5438b0bf5825e60649ee63658198220e627bbb
com.gitee.l0km	simplemq-amqp	2.3.14		39164ffc92b5b5f556b7e51e853568a753e06144
com.gitee.l0km	simplemq-amqp	2.3.15		1c067df2200513a7df42113ea937e5e1c7b2c7a7
com.gitee.l0km	simplemq-amqp	2.3.16		5c360cc9835c6e1345b5682a56d75c1e56cc2e26
com.gitee.l0km	simplemq-amqp	2.3.17		28d073b6c98eebf5cbb939cb0a2b773047212c04
com.gitee.l0km	simplemq-amqp	2.3.3		d69b808303b6b6da938b59cb0294098eebb0a8d2
