br.com.colman.wrr4k	wrr4k	1.0.0		3c353c6ba83d0127035f1d1c82b6bb895aef6341
ch.sbb.maven.archetypes	wmb7-maven-projects	1.0		8b39490878293a9cfd1263edd9f2b451c32e5393
ch.sbs	super-parent	1.7		N/A
cn.allbs	allbs-oss	1.1.8		eab877fd35daad18d60330e158b785a2dc8b5c14
cn.allbs	allbs-oss	1.1.9		5fee7c1b276bf14092d1599f32892f19c0bffa63
cn.allbs	allbs-oss	1.2.0		871a801d4deeb75315e9a700e4ce6ec2f95f3ffd
cn.allbs	allbs-oss	2.0.0		1f725fa822b03069a5faa9ed0e3d95b1a3f08d59
cn.allbs	allbs-oss	2.0.2		4084992ec5e941299003e8b84118436762f4cd7d
cn.allbs	allbs-oss	2.0.3		1896fc09daf059b13a7b6a0269d0b005e77892ca
cn.craccd	mongoHelper	0.1.0		947f2aa1ad7dbbe6a579aa43957732d5d0c0579f
cn.craccd	mongoHelper	0.1.1		7f9cfcad433c08c271880dc90904f4ac5c52b62f
cn.craccd	mongoHelper	0.1.2		5d9a2d6ec39a4407a2ab2649fce94163eb72614f
cn.craccd	mongoHelper	0.1.3		800eaf87b7bd0e4ca370b343b9c177f62d0c5330
cn.craccd	mongoHelper	0.1.4		f3c77f8192af4ef95268283be193e9c3241d3079
cn.craccd	mongoHelper	0.1.5		a8d283ba95df814e55b7eefd08958aed59b77fdc
cn.craccd	mongoHelper	0.1.6		79828a9798db830ca5f811d2937872ffe7cacc26
cn.craccd	mongoHelper	0.1.7		5320156a331c62f099ff88cc636959a85c99879b
cn.craccd	mongoHelper	0.1.8		02c06de4457b78737a408214b07046aa7b53f631
cn.craccd	mongoHelper	0.1.9		41dfe8060b5b207998d359a6245d5ab1cf4b71da
cn.craccd	mongoHelper	0.2.0		2468fdb2e3c017fb7f047dae235c00965c022877
cn.craccd	mongoHelper	0.2.1		1e62aaf88fb98e70d5088ff042e9b1c801d48f2c
cn.craccd	mongoHelper	0.2.2		65e20fb0654b14cdd07ad103c58da58e9203eba9
cn.craccd	mongoHelper	0.2.3		511615321f9ae15035c16c393f9e76bdbbe8df0f
cn.craccd	mongoHelper	0.2.4		366cd9aaeb780eb25e6a28d52935e02feefb029d
cn.craccd	mongoHelper	0.2.5		d5cfb2405a830ceba9f60eb97da6f9c790a559ab
cn.craccd	mongoHelper	0.2.6		35a6072270107e1b968da5861ce632137c229187
cn.craccd	mongoHelper	0.2.7		f71a2b816b7c218f1cb6001fe03860aa05d193dd
cn.craccd	mongoHelper	0.2.8		f6cd68d667f3110bd0411a2e866aabd7eb7f13d3
cn.craccd	mongoHelper	0.2.9		2e16116fb480a2d3cbd54f5a1ed4f8cb18cc541f
cn.craccd	mongoHelper	0.3.0		fcade3058574624f59ed7ea526c71cdfd49aa361
