cn.com.antcloud.api	antcloud-api-unicontact	1.0.3		c3fd82e91d10a5d24211700a10f0d82cbf6ec53d
cn.luern0313.lson	Lson	0.1		09dce87f74c4bb44547a4fbf7f9bda81abb79ae3
cn.luern0313.lson	Lson	0.2		66fded862de245a7c3200b2091d11c94c2a31499
cn.luern0313.lson	Lson	0.3		6ad659652381bc30a31f86a4a77c9b34e34e82b0
cn.luern0313.lson	Lson	0.35		3369336206c872d0ec7ea9e2e60ddbc0a471fa90
cn.luern0313.lson	Lson	0.5		803fb813c700161328b715f660bfb0321d6aaefe
cn.luern0313.lson	Lson	0.6		8c8badb42b6d5f4fb35a7deca396a094cf723d47
cn.luern0313.lson	Lson	0.70		4ba8c50e5cd2a601564773a5c7dc5b048672d8c7
cn.luern0313.lson	Lson	0.80		2b58e38b50c83281b56e18894a4120a68fcfa1e3
cn.luern0313.lson	Lson	0.85		4344b185e9fe59698f2d2798702bd453ba72f1d9
cn.luern0313.lson	Lson	0.90		69b55ac0cbbadd5d0066cf8ffb79c136803bd76f
com.armanbilge	http4s-server_2.12	1.0-148-8da8898		a15be71ee4d26e99d4d72f96619d7736648272a6
com.armanbilge	http4s-server_2.12	1.0-377-020cf9e		e484f1a537187b328f595fe6628cfb90b6c103c2
com.github.ajalt.clikt	clikt-iossimulatorarm64	5.0.0		N/A
com.github.ajalt.clikt	clikt-iossimulatorarm64	5.0.0	metadata	bf875c6de9ea92f09ee16f851469aeabeedf7ca4
com.github.ajalt.clikt	clikt-iossimulatorarm64	5.0.1		N/A
com.github.ajalt.clikt	clikt-iossimulatorarm64	5.0.1	metadata	70465da4ad5ceee03940553e4e22bbc56a325489
com.github.ajalt.clikt	clikt-iossimulatorarm64	5.0.2		N/A
com.github.ajalt.clikt	clikt-iossimulatorarm64	5.0.2	metadata	6884d5cbf0fec7ee3ce5db7a7752f2da4f566082
com.github.ajalt.clikt	clikt-iossimulatorarm64	5.0.3		N/A
com.github.ajalt.clikt	clikt-iossimulatorarm64	5.0.3	metadata	387e7973ecfea673c5c24f090ae6e594c68c45b0
com.github.chen0040	java-genetic-programming	1.0.1		fbb5dd4019a7d09e8d2270000c19d423c4200ae6
