africa.shuwari	version-zio-prelude_sjs1_3	0.5.0	-	c08cb3092be6d3c41ffc4a9f2581e65914147137
ai.h2o	sparkling-water-utils_2.12	3.30.0.5-1-3.0	-	8d6b39e2635d3652f7061159e84dd880c8cbd8fc
ai.h2o	sparkling-water-utils_2.12	3.30.0.6-1-3.0	-	dfdad56da44da2a9857acc5e9cd7194eee457375
ai.h2o	sparkling-water-utils_2.12	3.30.0.7-1-3.0	-	1cafc8f1e72e6fa8e235a5be115da786422e5f71
ai.h2o	sparkling-water-utils_2.12	3.30.1.1-1-3.0	-	432052fcffa6be0c6c64897c8d200d01335747b1
ai.h2o	sparkling-water-utils_2.12	3.30.1.2-1-3.0	-	27118c74f35c278656e4dc38bb377c2fff479303
ai.h2o	sparkling-water-utils_2.12	3.30.1.3-1-3.0	-	a97e1ec3125ea1f256000ac1f8b8f03d31186dd1
ai.h2o	sparkling-water-utils_2.12	3.32.0.1-2-3.0	-	c03d9882758bf97b8f1c36282cfdfa5b14286f86
ai.h2o	sparkling-water-utils_2.12	3.32.0.2-1-3.0	-	808e9d4445f49fe6b442d50eddcce3016b9dbc50
ai.h2o	sparkling-water-utils_2.12	3.32.0.3-1-3.0	-	16f23ba692b18f9fc6de0de3fd917ed6997abd33
ai.h2o	sparkling-water-utils_2.12	3.32.0.4-1-3.0	-	7688e094dce84a5938d0366420ae87c4741cd02f
ai.h2o	sparkling-water-utils_2.12	3.32.0.5-1-3.0	-	9c1eb2ec2d3aa4b8a555e0f359feac2fefa78645
ai.h2o	sparkling-water-utils_2.12	3.32.1.1-1-3.0	-	66fc7350ad8f14d27417f32536e5a893834d0fa0
ai.h2o	sparkling-water-utils_2.12	3.32.1.2-1-3.0	-	3d75698094a65c33c06c121ae862d1ab9795f7b4
ai.h2o	sparkling-water-utils_2.12	3.32.1.2-1-3.1	-	d354c1cad2dbb3a77479c6e3dbdecd59fc528231
ai.h2o	sparkling-water-utils_2.12	3.32.1.3-1-3.0	-	925916192f70235e88d120c92152508fd4f9bb58
ai.h2o	sparkling-water-utils_2.12	3.32.1.3-1-3.1	-	75d71431ccf4b16e3ff7cfee1aa1b56523b3809a
ai.h2o	sparkling-water-utils_2.12	3.32.1.4-1-3.0	-	c6686bb8742c1600e4e11d6771bded68c7f84b4b
ai.h2o	sparkling-water-utils_2.12	3.32.1.4-1-3.1	-	24e9b61d1b02fcc7425c7d0fed5f1c7b974d735f
ai.h2o	sparkling-water-utils_2.12	3.32.1.5-1-3.0	-	9d2b7d5a1512ce4e46d18f41289ab6cd17b4a3a9
ai.h2o	sparkling-water-utils_2.12	3.32.1.5-1-3.1	-	ef8c879149ab9a39b2cf4f86fbadeaa7355d208a
ai.h2o	sparkling-water-utils_2.12	3.32.1.6-1-3.0	-	3c45abc56e890d2984a00041dafa4efff4bab8fb
ai.h2o	sparkling-water-utils_2.12	3.32.1.6-1-3.1	-	55fc7481a8bbc9e05e7c0442b2c481cb70febac8
ai.h2o	sparkling-water-utils_2.12	3.32.1.7-1-3.0	-	2328f64e8201d32a81709f6ca7373e068b147527
ai.h2o	sparkling-water-utils_2.12	3.32.1.7-1-3.1	-	05b766d97540d98b77dfd83e622f5e1c536a74cd
ai.h2o	sparkling-water-utils_2.12	3.34.0.1-1-3.0	-	2fbea5b9a9e69184d282c62859f3654cb90ab4ea
ai.h2o	sparkling-water-utils_2.12	3.34.0.1-1-3.1	-	6ffb57e6d75786c3b83be35a8fa4e81955e199bd
ai.h2o	sparkling-water-utils_2.12	3.34.0.3-1-3.0	-	553f56a8de6be037693a348e6e5d11820412e47a
ai.h2o	sparkling-water-utils_2.12	3.34.0.3-1-3.1	-	3d166e46a4e8770f13ed9ee6dfd06b74c048b6ce
ai.h2o	sparkling-water-utils_2.12	3.34.0.4-1-3.0	-	b303e86114abddd4a3f0f13f1ce71f0802e3cbf9
ai.h2o	sparkling-water-utils_2.12	3.34.0.4-1-3.1	-	77df65d9f3fddb022709c73b8d2b162bc965d248
ai.h2o	sparkling-water-utils_2.12	3.34.0.6-1-3.0	-	f32a4ea7a2713b45c93116a5aa3f95ae77af118d
ai.h2o	sparkling-water-utils_2.12	3.34.0.6-1-3.1	-	e39360d1af31dde62de9063ed0e217891db7ced9
ai.h2o	sparkling-water-utils_2.12	3.34.0.7-1-3.0	-	41a5fc4f08b9315f35632b4407584966dc26d6e3
ai.h2o	sparkling-water-utils_2.12	3.34.0.7-1-3.1	-	6e92d95feb0a55a1962ffc08a160bb7ebc1b4a92
ai.h2o	sparkling-water-utils_2.12	3.34.0.8-1-3.0	-	4b2da2703244de8a2cba55c9192c1deae23bc6aa
ai.h2o	sparkling-water-utils_2.12	3.34.0.8-1-3.1	-	882bdff7ea68af0a517677dd0bb5d8d632b017eb
ai.h2o	sparkling-water-utils_2.12	3.36.0.1-1-3.0	-	86305b8e86730929c8066d75aea4c7bc84e40065
ai.h2o	sparkling-water-utils_2.12	3.36.0.1-1-3.1	-	c0584b895339b3641e7ff99347fa094108bf15b4
ai.h2o	sparkling-water-utils_2.12	3.36.0.2-1-3.0	-	e49ec2fb49e5d4b55780df66772bcba840820533
ai.h2o	sparkling-water-utils_2.12	3.36.0.2-1-3.1	-	bc0089443882d90041e142023ecd3954c296fd2f
ai.h2o	sparkling-water-utils_2.12	3.36.0.3-1-3.0	-	7bf3d621cbb8fdfe4053b337571888f037da0376
ai.h2o	sparkling-water-utils_2.12	3.36.0.3-1-3.1	-	a07597f1b601ae7269fef31a1630360ebb283b15
ai.h2o	sparkling-water-utils_2.12	3.36.0.3-1-3.2	-	c2cea7a02772043649683c529f1e9e3acf2b51a1
ai.h2o	sparkling-water-utils_2.12	3.36.0.4-1-3.0	-	ba3d7e13a63b948b250fa4f5713eba1090c70761
ai.h2o	sparkling-water-utils_2.12	3.36.0.4-1-3.1	-	31a47575bcc7915d33a528f3336e1fd82a5f4135
ai.h2o	sparkling-water-utils_2.12	3.36.0.4-1-3.2	-	684f0fec0dca154ad3744fae7c13f638710d45a8
ai.h2o	sparkling-water-utils_2.12	3.36.1.1-1-3.0	-	67af2e2365a69a695f75d5cffd34894e82fae889
ai.h2o	sparkling-water-utils_2.12	3.36.1.1-1-3.1	-	c076f52bc23113f763792de548803b03292ad2c6
ai.h2o	sparkling-water-utils_2.12	3.36.1.1-1-3.2	-	652ad21aef4f862e99dd0ba4a089fe5d317a4351
ai.h2o	sparkling-water-utils_2.12	3.36.1.2-1-3.0	-	d4bd1dd56a93af900bad45947a0f070897c2a52b
ai.h2o	sparkling-water-utils_2.12	3.36.1.2-1-3.1	-	cc2bc5c6bbed5f1cdb5b3623e026e2d5f627b9bc
ai.h2o	sparkling-water-utils_2.12	3.36.1.2-1-3.2	-	ddd1c71409448486085bffb187d195c67b13b894
ai.h2o	sparkling-water-utils_2.12	3.36.1.3-1-3.0	-	53ee3576ba1b392d849e18c00abbae204f2bc43c
ai.h2o	sparkling-water-utils_2.12	3.36.1.3-1-3.1	-	2dfc48f39c2f4f2d0408734d1943ac5b49aa5ac1
ai.h2o	sparkling-water-utils_2.12	3.36.1.3-1-3.2	-	ec2d1fcba63463c5a320b56807ef13e83bcc77ab
ai.h2o	sparkling-water-utils_2.12	3.36.1.3-1-3.3	-	768a6891f8607aa5789e37ccf9b998f48166639b
ai.h2o	sparkling-water-utils_2.12	3.36.1.4-1-3.0	-	18939e0536d655a4657e4a9a712bb35f34387156
ai.h2o	sparkling-water-utils_2.12	3.36.1.4-1-3.1	-	daa907a3a181d040c77c5610044297c37b1784a1
ai.h2o	sparkling-water-utils_2.12	3.36.1.4-1-3.2	-	73d55c363821f3d2668e493e5aad6c835af650bd
ai.h2o	sparkling-water-utils_2.12	3.36.1.4-1-3.3	-	527b3758e941e90b01770f1f9b00140e1bdd8740
ai.h2o	sparkling-water-utils_2.12	3.36.1.5-1-3.0	-	cde05b4a85d55f4fd2e871ca2d861b17002b4590
ai.h2o	sparkling-water-utils_2.12	3.36.1.5-1-3.1	-	41e7a70d08aa4080e24ecdc2469d053c3f197da7
ai.h2o	sparkling-water-utils_2.12	3.36.1.5-1-3.2	-	e4108b3477ac7b53c7dc74b42f48aa428dcc7271
ai.h2o	sparkling-water-utils_2.12	3.36.1.5-1-3.3	-	74ab6441d3f491b8cfe79c07cac9366ae0e3f8b2
ai.h2o	sparkling-water-utils_2.12	3.38.0.1-1-3.0	-	1106e582e7277523e10236382bf61b98dea12fac
ai.h2o	sparkling-water-utils_2.12	3.38.0.1-1-3.1	-	523928b93b4f7921db62f51adf4015d76862b22d
ai.h2o	sparkling-water-utils_2.12	3.38.0.1-1-3.2	-	6bec34401618c634d4b97dfebb161742c4eb7949
ai.h2o	sparkling-water-utils_2.12	3.38.0.1-1-3.3	-	457e58d93abf81cabddc500ad42b800d665d9a5e
ai.h2o	sparkling-water-utils_2.12	3.38.0.2-1-3.0	-	1196a684e7688b713a9efcbdfa6264fd79de2994
ai.h2o	sparkling-water-utils_2.12	3.38.0.2-1-3.1	-	b4c67c165c14d23d4ba9647badcedc0122517ee4
ai.h2o	sparkling-water-utils_2.12	3.38.0.2-1-3.2	-	33e96856a469a26d673a1f377282247a5c00ba61
ai.h2o	sparkling-water-utils_2.12	3.38.0.2-1-3.3	-	bb9864a8322665636b0c42701b298cd1b51fd0fc
ai.h2o	sparkling-water-utils_2.12	3.38.0.3-1-3.0	-	fc8f06b576133443a11e42a6e7ca6b71b12d2d5b
ai.h2o	sparkling-water-utils_2.12	3.38.0.3-1-3.1	-	bbd571fd7e972fe39678236968633dc72b85d6b8
ai.h2o	sparkling-water-utils_2.12	3.38.0.3-1-3.2	-	8cf2e7541440bf181c6090a7de169d9219c15bce
ai.h2o	sparkling-water-utils_2.12	3.38.0.3-1-3.3	-	f3f73c46342a024de72598295b7336fca6bb8fae
ai.h2o	sparkling-water-utils_2.12	3.38.0.4-1-3.0	-	4b05dd35f86bbb266cc44e0576ab351244e65d8c
ai.h2o	sparkling-water-utils_2.12	3.38.0.4-1-3.1	-	6c085a92625010c9ecb38dbf86e40cc9e93f73ea
ai.h2o	sparkling-water-utils_2.12	3.38.0.4-1-3.2	-	6c085a92625010c9ecb38dbf86e40cc9e93f73ea
ai.h2o	sparkling-water-utils_2.12	3.38.0.4-1-3.3	-	bc9fde8630e42f2de3aba19f44fa030235853c11
ai.h2o	sparkling-water-utils_2.12	3.40.0.1-1-3.0	-	4d71122a923bf92ad557f58e79dc821d1844a0bb
ai.h2o	sparkling-water-utils_2.12	3.40.0.1-1-3.1	-	9e17873f35135e99b5e8b7c5383bf831df9126da
