activesoap	retroweaver	1.1	-	8de137dad861a59f75a1e7289553e0dc090b18dc
app.cash.paging	paging-compose-common-watchosarm64	3.2.0-alpha05-0.2.1	3.2.0-alpha05-0.2.1-metadata	e986538833a23d8d523cf7b704dea0690fb529dd
app.cash.paging	paging-compose-common-watchosarm64	3.2.0-alpha05-0.2.2	3.2.0-alpha05-0.2.2-metadata	45a9eb074f72662734babf39df15b475716cdeeb
app.cash.paging	paging-compose-common-watchosarm64	3.2.0-alpha05-0.2.3	3.2.0-alpha05-0.2.3-metadata	2f6eafd92d5f9bb8013c88299182abfb374353a6
app.cash.paging	paging-compose-common-watchosarm64	3.3.0-alpha02-0.4.0	3.3.0-alpha02-0.4.0-metadata	11a4454e45b8b0d8cb8f954431ac504b002e30bb
app.cash.paging	paging-compose-common-watchosarm64	3.3.0-alpha02-0.5.0	3.3.0-alpha02-0.5.0-metadata	65e7bdc4e31acdfe8d1c9947db7c356e49604f6d
app.cash.paging	paging-compose-common-watchosarm64	3.3.0-alpha02-0.5.1	3.3.0-alpha02-0.5.1-metadata	d5bc47b4050a02e04278bee91f950a17b68f8c24
app.fmgp	scala-did-docs_3	0.1.0-M16	-	d4fbe9d09a9e88b492ace570183095f34d7d7e34
app.fmgp	scala-did-docs_3	0.1.0-M17	-	6c45964d109411098158a5bc5a4cf8e14d2b9fc8
app.fmgp	scala-did-docs_3	0.1.0-M18	-	f31b7ae2dc5faad66a6ccb8ed5ca205fb9197090
app.fmgp	scala-did-docs_3	0.1.0-M19	-	5060716f53f8b31c5725c0bcd3bd68c79b43b23a
app.fmgp	scala-did-docs_3	0.1.0-M20	-	79d13949ab1339c69c73f71450b8cc4c6052288b
app.fmgp	scala-did-docs_3	0.1.0-M21	-	272b0808e001473baf023adad427583cd4eefe96
app.fmgp	scala-did-docs_3	0.1.0-M22	-	322c98df663446da8a46538ffa5ed2f517ce0bb6
app.fmgp	scala-did-docs_3	0.1.0-M23	-	45947de2fc451ca5bdfa6e98ba250ae02fa8e3a2
app.fmgp	scala-did-docs_3	0.1.0-M24	-	16d618d3c9bbe1a1b278b1d895315263acc4a5ad
app.fmgp	scala-did-docs_3	0.1.0-M25	-	a624fb39de2fa8527b566f222054ee42b89ededc
aspectwerkz	aspectwerkz-extensions	0.10	-	782c558249174a6803b9ddeb2e0ec010bf0c348a
aspectwerkz	aspectwerkz-extensions	0.10.RC1	-	1b12d0c15c84a23776d1e2a3c259903d69e1ccfc
aspectwerkz	aspectwerkz-extensions	0.10.RC2	-	f9a379d10e016da8d5d9431228886c9e3a463e6c
aspectwerkz	aspectwerkz-extensions	0.9	-	09d6d2684eb9e94da71c618b92b6f0a8aa550817
aspectwerkz	aspectwerkz-extensions	0.9.RC1	-	87fc9bdea1fc680b1761bf2ae6f191f7dececd6d
aspectwerkz	aspectwerkz-extensions	1.0	-	920da894b2d2896993cf8baa37d0bd2e544131c7
aspectwerkz	aspectwerkz-extensions	1.0-beta1	-	a18646622761d0703a540d735da8a8652b867e88
aspectwerkz	aspectwerkz-extensions	1.0.RC1	-	c3e62d801b764ad407d464d36ae7626a198444e5
aspectwerkz	aspectwerkz-extensions	1.0.RC2	-	d74b3814144d3bb3e206228c10fda14a06adaaea
aspectwerkz	aspectwerkz-extensions	1.0.RC3	-	546ebee468b57ec8895f950e2f58115c9c465a5c
aspectwerkz	aspectwerkz-extensions	2.0	-	939929a00f3b75ec065d0db9a01cc3e95f4294b8
aspectwerkz	aspectwerkz-extensions	2.0.RC1	-	b604a6406c3d70a8996bd74e8c1069a72c7f67a9
aspectwerkz	aspectwerkz-extensions	2.0.RC2	-	fcdff3a1b9c325b68ef1ec2fbea19f3250759b1b
aspectwerkz	aspectwerkz-extensions	2.0.RC3	-	cc6126d6b4efdd6ab31fb299de3e1b42c92c96e3
at.bestsolution.eclipse	org.eclipse.fx.text.ui	2.1.0	-	ec8d0237a34912506ffa3d15a1d97e88270fa499
at.bestsolution.eclipse	org.eclipse.fx.text.ui	2.2.0	-	39f7201291dec579e893a1fb5fe6538528bc4ad9
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.100	-	b1675cc9edab90bb6ba6e2bf1872b3a38c633592
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.101	-	90e1af5f30139858b08916447aa4069dd2b7b210
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.102	-	d46d7efd379abc381d828822dda6f1b8a67022bc
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.103	-	58862497288a8edeccb542745edfc853b9d90832
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.104	-	aed7da7b647d2386b8c065dba2a440b9ae94ce07
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.105	-	6d77bada2773383cd0cf5186fc518b05fd4794c2
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.106	-	37617bac4bd3e34bd012c274d07e16678721661d
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.107	-	fdf392570cffddd13ef4493ec68f22421a286d0a
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.108	-	d8503c6faef69ca40949a70653b153a1b8099bb6
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.109	-	df0da43fccdb382e0c246e1e5f3c251e897443e5
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.110	-	dcf2a27af9b27d4a14c168ffb5a211cb58a3e962
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.111	-	b83cbbc2f2b587cfb8e28cda8f06d555c6494ce4
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.112	-	a726f026abd629936efc86e565fb0c35704f29c2
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.88	-	54ea2015819347d4c6c7d5728d49018eb4c039a4
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.89	-	c0bf8a20f12662a42b4514dbab6e9c2f69dfbd87
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.90	-	106703b97c8b4980478e01b8612194f701bffa20
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.91	-	2508f629315cf2e8fb9f0bd6818972bc25b24794
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.92	-	692194266cc2fcdbf7437153d0c8c53cc3aa093d
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.93	-	8233cdd5a83b3158ccfbf28fdb9cf95d113b2feb
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.94	-	061b38e5bf878919115e9dde7d5e61c92006b96b
aws.sdk.kotlin	bedrockdataautomation-jvm	1.3.95	-	b7d6aab3eb58be7c5d63c75036a054be13f16277
